,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,250010977486.0,250010977486.0,250010977486.0,250010977486.0
Share Issued,250010977486.0,250010977486.0,250010977486.0,250010977486.0
Total Debt,2866476000000.0,2303457000000.0,2012630000000.0,1622652000000.0
Tangible Book Value,3253798000000.0,3081172000000.0,2786721000000.0,2520255000000.0
Invested Capital,6128626000000.0,5393625000000.0,4808103000000.0,4150906000000.0
Net Tangible Assets,3313775000000.0,3141149000000.0,2846698000000.0,2580232000000.0
Common Stock Equity,3262150000000.0,3090168000000.0,2795473000000.0,2528254000000.0
Preferred Stock Equity,59977000000.0,59977000000.0,59977000000.0,59977000000.0
Total Capitalization,6188603000000.0,5453602000000.0,4868080000000.0,4210883000000.0
Total Equity Gross Minority Interest,3343965000000.0,3172074000000.0,2876244000000.0,2614122000000.0
Minority Interest,21838000000.0,21929000000.0,20794000000.0,25891000000.0
Stockholders Equity,3322127000000.0,3150145000000.0,2855450000000.0,2588231000000.0
Other Equity Interest,100000000000.0,139991000000.0,79991000000.0,39991000000.0
Retained Earnings,1781715000000.0,1674405000000.0,1530102000000.0,1394797000000.0
Additional Paid In Capital,135736000000.0,135619000000.0,135653000000.0,134925000000.0
Capital Stock,309988000000.0,309988000000.0,309988000000.0,309988000000.0
Common Stock,250011000000.0,250011000000.0,250011000000.0,250011000000.0
Preferred Stock,59977000000.0,59977000000.0,59977000000.0,59977000000.0
Total Liabilities Net Minority Interest,37227184000000.0,35152752000000.0,31724467000000.0,27639857000000.0
Derivative Product Liabilities,93990000000.0,41868000000.0,46747000000.0,31323000000.0
Long Term Debt And Capital Lease Obligation,2866476000000.0,2303457000000.0,2012630000000.0,1622652000000.0
Payables,101049000000.0,126148000000.0,133524000000.0,127340000000.0
Other Payable,60661000000.0,52568000000.0,49355000000.0,40998000000.0
Total Tax Payable,40388000000.0,73580000000.0,84169000000.0,86342000000.0
Total Assets,40571149000000.0,38324826000000.0,34600711000000.0,30253979000000.0
Investments And Advances,10815576000000.0,9703099000000.0,8614320000000.0,7692344000000.0
Investmentin Financial Assets,10792016000000.0,9682116000000.0,8591620000000.0,7673469000000.0
Available For Sale Securities,2641736000000.0,2234731000000.0,2015818000000.0,1941478000000.0
Trading Securities,612504000000.0,602303000000.0,568097000000.0,545273000000.0
Long Term Equity Investment,23560000000.0,20983000000.0,22700000000.0,18875000000.0
Goodwill And Other Intangible Assets,8352000000.0,8996000000.0,8752000000.0,7999000000.0
Other Intangible Assets,5830000000.0,6540000000.0,6496000000.0,5858000000.0
Goodwill,2522000000.0,2456000000.0,2256000000.0,2141000000.0
Net PPE,169435000000.0,167371000000.0,166985000000.0,168326000000.0
Accumulated Depreciation,-168373000000.0,-160358000000.0,-151469000000.0,-142404000000.0
Gross PPE,337808000000.0,327729000000.0,318454000000.0,310730000000.0
Construction In Progress,4319000000.0,7423000000.0,9971000000.0,11628000000.0
Other Properties,123798000000.0,110517000000.0,99182000000.0,88703000000.0
Machinery Furniture Equipment,52474000000.0,55150000000.0,57065000000.0,59604000000.0
Properties,157217000000.0,154639000000.0,152236000000.0,150795000000.0
Cash And Cash Equivalents,3537201000000.0,3948975000000.0,3893624000000.0,3228654000000.0
Cash Equivalents,138433000000.0,59429000000.0,39119000000.0,121493000000.0
Cash Financial,46691000000.0,45682000000.0,47534000000.0,48613000000.0
Cash Cash Equivalents And Federal Funds Sold,4159760000000.0,4928473000000.0,4934471000000.0,3777732000000.0
