,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,294387791241.0,294387791241.0,294387791241.0,294387791241.0,
Share Issued,294387791241.0,294387791241.0,294387791241.0,294387791241.0,
Total Debt,2521963000000.0,2209527000000.0,1888997000000.0,1718692000000.0,
Tangible Book Value,2664672000000.0,2480860000000.0,2276966000000.0,2080070000000.0,
Invested Capital,5199928000000.0,4700690000000.0,4173799000000.0,3804676000000.0,
Net Tangible Assets,2784222000000.0,2600410000000.0,2396516000000.0,2199620000000.0,
Common Stock Equity,2696681000000.0,2509960000000.0,2304423000000.0,2105603000000.0,
Preferred Stock Equity,119550000000.0,119550000000.0,119550000000.0,119550000000.0,
Total Capitalization,5319478000000.0,4820240000000.0,4293349000000.0,3924226000000.0,
Total Equity Gross Minority Interest,2952964000000.0,2756815000000.0,2563301000000.0,2350553000000.0,
Minority Interest,136733000000.0,127305000000.0,139328000000.0,125400000000.0,
Stockholders Equity,2816231000000.0,2629510000000.0,2423973000000.0,2225153000000.0,
Other Equity Interest,289963000000.0,279955000000.0,249955000000.0,199955000000.0,
Treasury Stock,,,,,8000000.0
Retained Earnings,1187650000000.0,1129148000000.0,1045989000000.0,956987000000.0,
Additional Paid In Capital,133620000000.0,133632000000.0,133634000000.0,133648000000.0,
Capital Stock,413938000000.0,413938000000.0,413938000000.0,413938000000.0,
Common Stock,294388000000.0,294388000000.0,294388000000.0,294388000000.0,
Preferred Stock,119550000000.0,119550000000.0,119550000000.0,119550000000.0,
Total Liabilities Net Minority Interest,32108335000000.0,29675351000000.0,26330247000000.0,24371855000000.0,
Derivative Product Liabilities,153456000000.0,135973000000.0,135838000000.0,89151000000.0,
Long Term Debt And Capital Lease Obligation,2521963000000.0,2209527000000.0,1888997000000.0,1718692000000.0,
Payables,87575000000.0,113096000000.0,107456000000.0,86786000000.0,
Other Payable,58554000000.0,53793000000.0,48499000000.0,41780000000.0,
Total Tax Payable,29021000000.0,59303000000.0,58957000000.0,45006000000.0,
Total Assets,35061299000000.0,32432166000000.0,28893548000000.0,26722408000000.0,
Investments And Advances,8584426000000.0,7345017000000.0,6625581000000.0,6296239000000.0,
Investmentin Financial Assets,8543454000000.0,7305467000000.0,6587277000000.0,6260470000000.0,
Available For Sale Securities,4388945000000.0,3248113000000.0,2500216000000.0,2389830000000.0,
Trading Securities,600297000000.0,550421000000.0,613105000000.0,561642000000.0,
Long Term Equity Investment,40972000000.0,39550000000.0,38304000000.0,35769000000.0,
Investment Properties,22431000000.0,22704000000.0,23311000000.0,19554000000.0,
Goodwill And Other Intangible Assets,32009000000.0,29100000000.0,27457000000.0,25533000000.0,
Other Intangible Assets,29181000000.0,26415000000.0,24806000000.0,23052000000.0,
Goodwill,2828000000.0,2685000000.0,2651000000.0,2481000000.0,
Net PPE,264102000000.0,266439000000.0,266098000000.0,266412000000.0,
Accumulated Depreciation,-155303000000.0,-148614000000.0,-144826000000.0,-126488000000.0,
Gross PPE,419405000000.0,415053000000.0,410924000000.0,392900000000.0,
Construction In Progress,21717000000.0,20346000000.0,19613000000.0,26965000000.0,
Other Properties,263213000000.0,264269000000.0,262702000000.0,240946000000.0,
Properties,134475000000.0,130438000000.0,128609000000.0,124989000000.0,
Cash And Cash Equivalents,4142953000000.0,4457374000000.0,4104721000000.0,3901985000000.0,
Cash Equivalents,178014000000.0,93910000000.0,126573000000.0,272478000000.0,
Cash Financial,2537347000000.0,67571000000.0,64706000000.0,59518000000.0,
Cash Cash Equivalents And Federal Funds Sold,4672012000000.0,4840851000000.0,4433234000000.0,4407213000000.0,
