,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,546972.0,6162857.0,8548631.0,3873663.0,
Ordinary Shares Number,393283720.0,393421721.0,394589411.0,402601613.0,
Share Issued,393830692.0,399584578.0,403138042.0,406475276.0,
Total Debt,4687600000.0,4631600000.0,4260400000.0,4584100000.0,
Tangible Book Value,13266900000.0,8122100000.0,3412800000.0,4632900000.0,
Invested Capital,23164400000.0,18084000000.0,13071200000.0,14724700000.0,
Working Capital,10686000000.0,8119200000.0,5081300000.0,5892200000.0,
Net Tangible Assets,13266900000.0,8122100000.0,3412800000.0,4632900000.0,
Common Stock Equity,18476800000.0,13452400000.0,8810800000.0,10140600000.0,
Total Capitalization,22154100000.0,18083900000.0,12325000000.0,14215600000.0,
Total Equity Gross Minority Interest,18476800000.0,13452400000.0,8810800000.0,10140600000.0,
Stockholders Equity,18476800000.0,13452400000.0,8810800000.0,10140600000.0,
Gains Losses Not Affecting Retained Earnings,454100000.0,345000000.0,428300000.0,333500000.0,
Other Equity Adjustments,454100000.0,345000000.0,428300000.0,333500000.0,
Treasury Stock,476000000.0,3306200000.0,4641300000.0,2422800000.0,
Retained Earnings,14414300000.0,12379500000.0,9046700000.0,8317300000.0,
Additional Paid In Capital,4049000000.0,3998100000.0,3940800000.0,3876100000.0,
Capital Stock,35400000.0,36000000.0,36300000.0,36500000.0,
Common Stock,35400000.0,36000000.0,36300000.0,36500000.0,
Total Liabilities Net Minority Interest,30112800000.0,26505100000.0,27489600000.0,20090400000.0,
Total Non Current Liabilities Net Minority Interest,10061400000.0,10230400000.0,9506000000.0,7792400000.0,
Non Current Accrued Expenses,459500000.0,401200000.0,454900000.0,251100000.0,
Non Current Deferred Liabilities,5924600000.0,5197700000.0,5536900000.0,3466300000.0,
Non Current Deferred Revenue,5625400000.0,4825500000.0,5269900000.0,3225700000.0,
Non Current Deferred Taxes Liabilities,299200000.0,372200000.0,267000000.0,240600000.0,
Long Term Debt And Capital Lease Obligation,3677300000.0,4631500000.0,3514200000.0,4075000000.0,
Long Term Debt,3677300000.0,4631500000.0,3514200000.0,4075000000.0,
Current Liabilities,20051400000.0,16274700000.0,17983600000.0,12298000000.0,
Current Deferred Liabilities,12570800000.0,11441000000.0,12481000000.0,7935200000.0,
Current Deferred Revenue,12570800000.0,11441000000.0,12481000000.0,7935200000.0,
Current Debt And Capital Lease Obligation,1010300000.0,100000.0,746200000.0,509100000.0,
Current Debt,1010300000.0,100000.0,746200000.0,509100000.0,
