,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,219872.0,216613.0,198362.0,180666.0,
Ordinary Shares Number,1438223.0,1441483.0,1459733.0,1477429.0,
Share Issued,1658095.0,1658096.0,1658095.0,1658095.0,
Net Debt,77033000000.0,90249000000.0,86933000000.0,26078000000.0,
Total Debt,124762000000.0,128271000000.0,122744000000.0,114262000000.0,
Tangible Book Value,530850000000.0,440763000000.0,366118000000.0,403838000000.0,
Invested Capital,774130000000.0,689544000000.0,596168000000.0,620461000000.0,
Net Tangible Assets,530850000000.0,440763000000.0,366118000000.0,403838000000.0,
Common Stock Equity,649368000000.0,561273000000.0,473424000000.0,506199000000.0,
Total Capitalization,771692000000.0,684209000000.0,593739000000.0,618110000000.0,
Total Equity Gross Minority Interest,651655000000.0,570770000000.0,481681000000.0,514930000000.0,
Minority Interest,2287000000.0,9497000000.0,8257000000.0,8731000000.0,
Stockholders Equity,649368000000.0,561273000000.0,473424000000.0,506199000000.0,
Gains Losses Not Affecting Retained Earnings,-3584000000.0,-3763000000.0,-5052000000.0,-4027000000.0,
Other Equity Adjustments,-3584000000.0,-3763000000.0,-5052000000.0,-4027000000.0,
Treasury Stock,78939000000.0,76802000000.0,67826000000.0,59795000000.0,
Retained Earnings,696218000000.0,607350000000.0,511127000000.0,534421000000.0,
Additional Paid In Capital,35665000000.0,34480000000.0,35167000000.0,35592000000.0,
Capital Stock,8000000.0,8000000.0,8000000.0,8000000.0,
Common Stock,8000000.0,8000000.0,8000000.0,8000000.0,
Total Liabilities Net Minority Interest,502226000000.0,499208000000.0,466784000000.0,443854000000.0,
Derivative Product Liabilities,,,,,1065000000.0
Non Current Deferred Liabilities,85870000000.0,93009000000.0,77368000000.0,90243000000.0,
Non Current Deferred Taxes Liabilities,85870000000.0,93009000000.0,77368000000.0,90243000000.0,
Long Term Debt And Capital Lease Obligation,122324000000.0,122936000000.0,120315000000.0,111911000000.0,
Long Term Debt,122324000000.0,122936000000.0,120315000000.0,111911000000.0,
Current Debt And Capital Lease Obligation,2438000000.0,5335000000.0,2429000000.0,2351000000.0,
Current Debt,2438000000.0,5335000000.0,2429000000.0,2351000000.0,
Other Current Borrowings,2438000000.0,5335000000.0,2429000000.0,2351000000.0,
Payables And Accrued Expenses,12769000000.0,0.0,49816000000.0,46072000000.0,
Payables,12769000000.0,,,,
Other Payable,12769000000.0,,,,
Total Assets,1153881000000.0,1069978000000.0,948465000000.0,958784000000.0,
Investments And Advances,604558000000.0,536285000000.0,454745000000.0,441733000000.0,
Long Term Equity Investment,31134000000.0,29066000000.0,28050000000.0,16045000000.0,
Investments In Other Ventures Under Equity Method,31134000000.0,29066000000.0,28050000000.0,16045000000.0,
Goodwill And Other Intangible Assets,118518000000.0,120510000000.0,107306000000.0,102361000000.0,
Other Intangible Assets,34638000000.0,35884000000.0,29187000000.0,28486000000.0,
Goodwill,83880000000.0,84626000000.0,78119000000.0,73875000000.0,
Net PPE,222929000000.0,216593000000.0,196965000000.0,191282000000.0,
Receivables,48390000000.0,51260000000.0,48285000000.0,39565000000.0,
Receivables Adjustments Allowances,-798000000.0,-833000000.0,-816000000.0,-830000000.0,
Other Receivables,6061000000.0,5497000000.0,4908000000.0,3796000000.0,
Loans Receivable,,,,,19201000000.0
Accounts Receivable,43127000000.0,46596000000.0,44193000000.0,36599000000.0,
Cash Cash Equivalents And Short Term Investments,334201000000.0,167641000000.0,128585000000.0,146719000000.0,
Other Short Term Investments,286472000000.0,129619000000.0,92774000000.0,58535000000.0,
Cash And Cash Equivalents,47729000000.0,38022000000.0,35811000000.0,88184000000.0,
