,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,968882.0,2535094.0,2180399.0,1252610.0,
Ordinary Shares Number,499372818.0,499513306.0,501076940.0,503504729.0,
Share Issued,500341700.0,502048400.0,503257339.0,504757339.0,
Net Debt,13310000000.0,14133000000.0,12439000000.0,12220000000.0,
Total Debt,41203000000.0,38876000000.0,35147000000.0,34839000000.0,
Tangible Book Value,20637000000.0,11407000000.0,4897000000.0,-3643000000.0,
Invested Capital,90458000000.0,82924000000.0,74850000000.0,67360000000.0,
Working Capital,13775000000.0,10565000000.0,8197000000.0,6312000000.0,
Net Tangible Assets,20637000000.0,11407000000.0,4897000000.0,-3643000000.0,
Capital Lease Obligations,18262000000.0,16969000000.0,15408000000.0,14598000000.0,
Common Stock Equity,67517000000.0,61017000000.0,55111000000.0,47119000000.0,
Total Capitalization,79608000000.0,72244000000.0,65491000000.0,59284000000.0,
Total Equity Gross Minority Interest,69287000000.0,62701000000.0,56604000000.0,48909000000.0,
Minority Interest,1770000000.0,1684000000.0,1493000000.0,1790000000.0,
Stockholders Equity,67517000000.0,61017000000.0,55111000000.0,47119000000.0,
Other Equity Interest,,-1000000.0,1000000.0,-912000000.0,-1000000.0
Fixed Assets Revaluation Reserve,1230000000.0,1392000000.0,1286000000.0,875000000.0,
Treasury Stock,603000000.0,1953000000.0,1293000000.0,912000000.0,
Retained Earnings,12550000000.0,15174000000.0,14084000000.0,12036000000.0,
Additional Paid In Capital,53000000.0,530000000.0,1289000000.0,2225000000.0,
Capital Stock,150000000.0,151000000.0,151000000.0,152000000.0,
Common Stock,150000000.0,151000000.0,151000000.0,152000000.0,
Total Liabilities Net Minority Interest,79903000000.0,80993000000.0,78042000000.0,76402000000.0,
Total Non Current Liabilities Net Minority Interest,46207000000.0,47848000000.0,46499000000.0,48413000000.0,
Other Non Current Liabilities,8698000000.0,12570000000.0,16391000000.0,14332000000.0,
Derivative Product Liabilities,105000000.0,130000000.0,206000000.0,45000000.0,
Non Current Pension And Other Postretirement Benefit Plans,129000000.0,132000000.0,123000000.0,105000000.0,
Tradeand Other Payables Non Current,1348000000.0,1438000000.0,1400000000.0,1404000000.0,
Non Current Deferred Taxes Liabilities,7344000000.0,7012000000.0,6952000000.0,6704000000.0,
Long Term Debt And Capital Lease Obligation,26951000000.0,25037000000.0,23156000000.0,24052000000.0,
Long Term Capital Lease Obligation,14860000000.0,13810000000.0,12776000000.0,11887000000.0,
Long Term Debt,12091000000.0,11227000000.0,10380000000.0,12165000000.0,
Long Term Provisions,1632000000.0,1529000000.0,1529000000.0,1771000000.0,
Current Liabilities,33696000000.0,33145000000.0,31543000000.0,27989000000.0,
Other Current Liabilities,1978000000.0,1880000000.0,9553000000.0,2528000000.0,
Current Debt And Capital Lease Obligation,14252000000.0,13839000000.0,11991000000.0,10787000000.0,
Current Capital Lease Obligation,3402000000.0,3159000000.0,2632000000.0,2711000000.0,
Current Debt,10850000000.0,10680000000.0,9359000000.0,8076000000.0,
Pensionand Other Post Retirement Benefit Plans Current,3157000000.0,2988000000.0,2714000000.0,2470000000.0,
Current Provisions,1317000000.0,1241000000.0,1209000000.0,1246000000.0,
Payables,11396000000.0,11590000000.0,9999000000.0,9454000000.0,
Total Tax Payable,2766000000.0,2541000000.0,1211000000.0,2368000000.0,
Accounts Payable,8630000000.0,9049000000.0,8788000000.0,7086000000.0,
Total Assets,149190000000.0,143694000000.0,134646000000.0,125311000000.0,
Total Non Current Assets,101719000000.0,99984000000.0,94906000000.0,91010000000.0,
Other Non Current Assets,127000000.0,99000000.0,1186000000.0,102000000.0,
Non Current Prepaid Assets,602000000.0,577000000.0,554000000.0,482000000.0,
Non Current Deferred Taxes Assets,4545000000.0,3992000000.0,3661000000.0,3156000000.0,
Financial Assets,105000000.0,99000000.0,97000000.0,55000000.0,
Investmentin Financial Assets,1632000000.0,1363000000.0,1109000000.0,1363000000.0,
Available For Sale Securities,1632000000.0,1363000000.0,1109000000.0,1363000000.0,
Long Term Equity Investment,1343000000.0,991000000.0,1066000000.0,1084000000.0,
Investment Properties,319000000.0,315000000.0,435000000.0,321000000.0,
Goodwill And Other Intangible Assets,46880000000.0,49610000000.0,50214000000.0,50762000000.0,
Other Intangible Assets,26573000000.0,25588000000.0,25432000000.0,24858000000.0,
Goodwill,20307000000.0,24022000000.0,24782000000.0,25904000000.0,
Net PPE,45895000000.0,42695000000.0,37670000000.0,33272000000.0,
Accumulated Depreciation,-32072000000.0,-18083000000.0,-17278000000.0,-22213000000.0,
Gross PPE,77967000000.0,60778000000.0,37670000000.0,33272000000.0,
Construction In Progress,2394000000.0,2125000000.0,1810000000.0,1302000000.0,
Other Properties,28031000000.0,39278000000.0,37670000000.0,7771000000.0,
Machinery Furniture Equipment,23471000000.0,20880000000.0,,,
Buildings And Improvements,26808000000.0,23782000000.0,13476000000.0,12627000000.0,
Land And Improvements,20734000000.0,19375000000.0,16062000000.0,11572000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,47471000000.0,43710000000.0,39740000000.0,34301000000.0,
Other Current Assets,-1000000.0,,7488000000.0,,1000000.0
Hedging Assets Current,319000000.0,543000000.0,462000000.0,258000000.0,
Current Deferred Assets,,681000000.0,613000000.0,503000000.0,387000000.0
Prepaid Assets,1120000000.0,1007000000.0,999000000.0,818000000.0,
Inventory,23669000000.0,22952000000.0,20319000000.0,16548000000.0,
Inventories Adjustments Allowances,,,-2723000000.0,,
Finished Goods,12261000000.0,11811000000.0,10200000000.0,8230000000.0,
Work In Process,7035000000.0,6582000000.0,5932000000.0,5433000000.0,
Raw Materials,4373000000.0,4559000000.0,4187000000.0,2885000000.0,
Other Receivables,1031000000.0,850000000.0,875000000.0,777000000.0,
Taxes Receivable,3015000000.0,2366000000.0,375000000.0,1548000000.0,
Accounts Receivable,4731000000.0,4728000000.0,4258000000.0,3787000000.0,
Allowance For Doubtful Accounts Receivable,-125000000.0,-115000000.0,-111000000.0,-127000000.0,
Gross Accounts Receivable,4856000000.0,4843000000.0,4369000000.0,3914000000.0,
Cash Cash Equivalents And Short Term Investments,13587000000.0,11264000000.0,7300000000.0,10565000000.0,
Other Short Term Investments,3956000000.0,3490000000.0,3552000000.0,2544000000.0,
Cash And Cash Equivalents,9631000000.0,7774000000.0,7300000000.0,8021000000.0,
Cash Equivalents,2766000000.0,1671000000.0,1288000000.0,2305000000.0,
Cash Financial,6865000000.0,6103000000.0,6013000000.0,5717000000.0,
