,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,13853005.0,12011755.0,10073029.0,62159409.0,
Ordinary Shares Number,795400695.0,797241945.0,799180671.0,800403291.0,
Share Issued,809253700.0,809253700.0,809253700.0,862562700.0,
Net Debt,27679000000.0,23833000000.0,20360000000.0,24348000000.0,
Total Debt,36354000000.0,30782000000.0,26544000000.0,32552000000.0,
Tangible Book Value,6588000000.0,5097000000.0,7487000000.0,1563000000.0,
Invested Capital,66421000000.0,58524000000.0,53343000000.0,55687000000.0,
Working Capital,13013000000.0,8622000000.0,6577000000.0,-2789000000.0,
Net Tangible Assets,6588000000.0,5097000000.0,7487000000.0,1563000000.0,
Capital Lease Obligations,1700000000.0,1573000000.0,1193000000.0,1354000000.0,
Common Stock Equity,31767000000.0,29315000000.0,27992000000.0,24489000000.0,
Total Capitalization,62489000000.0,54125000000.0,49383000000.0,40565000000.0,
Total Equity Gross Minority Interest,36161000000.0,33263000000.0,32015000000.0,28345000000.0,
Minority Interest,4394000000.0,3948000000.0,4023000000.0,3856000000.0,
Stockholders Equity,31767000000.0,29315000000.0,27992000000.0,24489000000.0,
Retained Earnings,43842000000.0,42347000000.0,38937000000.0,34161000000.0,
Capital Stock,107000000.0,107000000.0,107000000.0,160000000.0,
Common Stock,107000000.0,107000000.0,107000000.0,160000000.0,
Total Liabilities Net Minority Interest,65640000000.0,57205000000.0,56136000000.0,63972000000.0,
Total Non Current Liabilities Net Minority Interest,38617000000.0,32381000000.0,28897000000.0,25556000000.0,
Other Non Current Liabilities,68000000.0,31000000.0,44000000.0,36000000.0,
Non Current Pension And Other Postretirement Benefit Plans,4381000000.0,4379000000.0,4561000000.0,6103000000.0,
Non Current Deferred Revenue,160000000.0,227000000.0,254000000.0,246000000.0,
Non Current Deferred Taxes Liabilities,832000000.0,593000000.0,645000000.0,628000000.0,
Long Term Debt And Capital Lease Obligation,32097000000.0,26092000000.0,22282000000.0,17101000000.0,
Long Term Capital Lease Obligation,1375000000.0,1282000000.0,891000000.0,1025000000.0,
Long Term Debt,30722000000.0,24810000000.0,21391000000.0,16076000000.0,
Long Term Provisions,1079000000.0,1059000000.0,1111000000.0,1442000000.0,
Current Liabilities,27023000000.0,24824000000.0,27239000000.0,38416000000.0,
Other Current Liabilities,,1000000.0,,,
Current Debt And Capital Lease Obligation,4257000000.0,4690000000.0,4262000000.0,15451000000.0,
Current Capital Lease Obligation,325000000.0,291000000.0,302000000.0,329000000.0,
Current Debt,3932000000.0,4399000000.0,3960000000.0,15122000000.0,
Current Provisions,1726000000.0,1684000000.0,2248000000.0,2526000000.0,
Payables,8179000000.0,6780000000.0,7901000000.0,7781000000.0,
Other Payable,730000000.0,458000000.0,429000000.0,413000000.0,
Dividends Payable,3000000.0,2000000.0,3000000.0,3000000.0,
