,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,82739793.0,91783469.0,,,
Ordinary Shares Number,9142175160.0,9391209351.0,9568738935.0,9608378469.0,
Share Issued,9224914953.0,9482992820.0,9568738935.0,9608378469.0,
Net Debt,206096000000.0,176298000000.0,177624000000.0,133563000000.0,
Total Debt,358112000000.0,371240000000.0,359141000000.0,323476000000.0,
Tangible Book Value,754304000000.0,613685000000.0,524283000000.0,598677000000.0,
Invested Capital,1312163000000.0,1157209000000.0,1055754000000.0,1107828000000.0,
Working Capital,99271000000.0,166289000000.0,131785000000.0,81714000000.0,
Net Tangible Assets,754304000000.0,613685000000.0,524283000000.0,598677000000.0,
Capital Lease Obligations,19497000000.0,22622000000.0,24778000000.0,21947000000.0,
Common Stock Equity,973548000000.0,808591000000.0,721391000000.0,806299000000.0,
Total Capitalization,1250655000000.0,1101511000000.0,1033728000000.0,1088825000000.0,
Total Equity Gross Minority Interest,1053896000000.0,873681000000.0,782860000000.0,876693000000.0,
Minority Interest,80348000000.0,65090000000.0,61469000000.0,70394000000.0,
Stockholders Equity,973548000000.0,808591000000.0,721391000000.0,806299000000.0,
Other Equity Interest,-5093000000.0,-5350000000.0,-4226000000.0,-4843000000.0,
Treasury Stock,3597000000.0,4740000000.0,1868000000.0,0.0,
Retained Earnings,892030000000.0,813911000000.0,705981000000.0,669911000000.0,
Additional Paid In Capital,43079000000.0,37989000000.0,62418000000.0,67330000000.0,
Capital Stock,0.0,0.0,0.0,0.0,
Common Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,727099000000.0,703565000000.0,795271000000.0,735671000000.0,
Total Non Current Liabilities Net Minority Interest,330190000000.0,351408000000.0,361067000000.0,332573000000.0,
Tradeand Other Payables Non Current,10201000000.0,12169000000.0,9067000000.0,9966000000.0,
Non Current Deferred Revenue,6236000000.0,3435000000.0,3503000000.0,4526000000.0,
Non Current Deferred Taxes Liabilities,18546000000.0,17635000000.0,12162000000.0,13142000000.0,
Long Term Debt And Capital Lease Obligation,291004000000.0,309388000000.0,330761000000.0,299027000000.0,
Long Term Capital Lease Obligation,13897000000.0,16468000000.0,18424000000.0,16501000000.0,
Long Term Debt,277107000000.0,292920000000.0,312337000000.0,282526000000.0,
Current Liabilities,396909000000.0,352157000000.0,434204000000.0,403098000000.0,
Current Debt And Capital Lease Obligation,67108000000.0,61852000000.0,28380000000.0,24449000000.0,
Current Capital Lease Obligation,5600000000.0,6154000000.0,6354000000.0,5446000000.0,
Current Debt,61508000000.0,55698000000.0,22026000000.0,19003000000.0,
Pensionand Other Post Retirement Benefit Plans Current,33340000000.0,30747000000.0,27664000000.0,,
Payables,143729000000.0,125724000000.0,261683000000.0,246003000000.0,
Other Payable,4393000000.0,2740000000.0,3151000000.0,19336000000.0,
Dividends Payable,,0.0,147965000000.0,102451000000.0,0.0
Total Tax Payable,20624000000.0,22036000000.0,18186000000.0,14746000000.0,
Accounts Payable,118712000000.0,100948000000.0,92381000000.0,109470000000.0,
Total Assets,1780995000000.0,1577246000000.0,1578131000000.0,1612364000000.0,
Total Non Current Assets,1284815000000.0,1058800000000.0,1012142000000.0,1127552000000.0,
Other Non Current Assets,6833000000.0,7547000000.0,8099000000.0,7884000000.0,
Non Current Prepaid Assets,12438000000.0,17073000000.0,6597000000.0,26208000000.0,
Non Current Deferred Taxes Assets,28325000000.0,29017000000.0,29882000000.0,26068000000.0,
Financial Assets,,,6987000000.0,1261000000.0,4000000.0
Investmentin Financial Assets,586036000000.0,456924000000.0,426655000000.0,442441000000.0,
Available For Sale Securities,381037000000.0,245779000000.0,220570000000.0,250257000000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,204999000000.0,211145000000.0,206085000000.0,192184000000.0,
Long Term Equity Investment,297415000000.0,261665000000.0,252715000000.0,323188000000.0,
Investmentsin Joint Venturesat Cost,7072000000.0,7969000000.0,6672000000.0,6614000000.0,
Investmentsin Associatesat Cost,290343000000.0,253696000000.0,246043000000.0,316574000000.0,
Investment Properties,801000000.0,570000000.0,559000000.0,517000000.0,
Goodwill And Other Intangible Assets,219244000000.0,194906000000.0,197108000000.0,207622000000.0,
Other Intangible Assets,77118000000.0,68686000000.0,80377000000.0,95449000000.0,
