,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,0.0,,,
Ordinary Shares Number,25932733242.0,25932070992.0,25930380458.0,25930380458.0,
Share Issued,25932733242.0,25932070992.0,25930380458.0,25930380458.0,
Total Debt,1047042100000.0,956257900000.0,888174400000.0,753631900000.0,
Tangible Book Value,4217984000000.0,3406755700000.0,2877020500000.0,2122438100000.0,
Invested Capital,5262553300000.0,4357098500000.0,3761430000000.0,2882127500000.0,
Working Capital,1779696200000.0,1251227800000.0,1066333100000.0,848720100000.0,
Net Tangible Assets,4217984000000.0,3406755700000.0,2877020500000.0,2122438100000.0,
Capital Lease Obligations,28755300000.0,28681800000.0,29764100000.0,20764200000.0,
Common Stock Equity,4244266500000.0,3429522400000.0,2903019700000.0,2149259800000.0,
Total Capitalization,5202695400000.0,4347805200000.0,3742116100000.0,2762639500000.0,
Total Equity Gross Minority Interest,4279271600000.0,3453866500000.0,2917832400000.0,2151682500000.0,
Minority Interest,35005100000.0,24344100000.0,14812700000.0,2422700000.0,
Stockholders Equity,4244266500000.0,3429522400000.0,2903019700000.0,2149259800000.0,
Other Equity Interest,38705000000.0,-28314300000.0,-20505600000.0,-62608400000.0,
Gains Losses Not Affecting Retained Earnings,40413126000.0,-28020822000.0,,370451000000.0,
Other Equity Adjustments,1310307000.0,1395875000.0,,370451000000.0,
Foreign Currency Translation Adjustments,40262995000.0,-25316769000.0,,,
Unrealized Gain Loss,-1160176000.0,-4099928000.0,,,
Treasury Stock,,0.0,0.0,,
Retained Earnings,3872973400000.0,3128639600000.0,2594891200000.0,1887802900000.0,
Additional Paid In Capital,73260800000.0,69876400000.0,69330300000.0,64761500000.0,
Capital Stock,259327300000.0,259320700000.0,259303800000.0,259303800000.0,
Common Stock,259327300000.0,259320700000.0,259303800000.0,259303800000.0,
Total Liabilities Net Minority Interest,2412493100000.0,2078330100000.0,2046626700000.0,1573619700000.0,
Total Non Current Liabilities Net Minority Interest,1103837200000.0,1135525000000.0,1060063100000.0,815266900000.0,
Other Non Current Liabilities,105083800000.0,179249400000.0,180850100000.0,168212200000.0,
Employee Benefits,7580700000.0,9257200000.0,9321100000.0,11036900000.0,
Non Current Pension And Other Postretirement Benefit Plans,7580700000.0,9257200000.0,9321100000.0,11036900000.0,
Non Current Deferred Liabilities,3988500000.0,53800000.0,1031400000.0,1873900000.0,
Non Current Deferred Revenue,,,,,265600000.0
Non Current Deferred Taxes Liabilities,3988500000.0,53800000.0,1031400000.0,1873900000.0,
