,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,319998000000.0,379506000000.0,556991000000.0,402956000000.0,
Repurchase Of Capital Stock,-3750000000.0,0.0,,,0.0
Repayment Of Debt,-31482000000.0,-134495000000.0,-132514000000.0,-73563000000.0,
Issuance Of Debt,54398000000.0,32057000000.0,9082000000.0,42213000000.0,
Issuance Of Capital Stock,788000000.0,662000000.0,550000000.0,384000000.0,
Capital Expenditure,-188890000000.0,-158308000000.0,-141161000000.0,-119645000000.0,
End Cash Position,216642000000.0,198973000000.0,226047000000.0,299579000000.0,
Beginning Cash Position,198973000000.0,226047000000.0,299579000000.0,207232000000.0,
Changes In Cash,17669000000.0,-27074000000.0,-73532000000.0,92347000000.0,
Financing Cash Flow,-488358000000.0,-510869000000.0,-382675000000.0,-294513000000.0,
Net Other Financing Charges,,,57895000000.0,46547000000.0,
Interest Paid Cff,-15115000000.0,-14352000000.0,-9839000000.0,-9534000000.0,
Cash Dividends Paid,-465918000000.0,-366674000000.0,-281318000000.0,-281305000000.0,
Common Stock Dividend Paid,-465918000000.0,-366674000000.0,-281318000000.0,-281305000000.0,
Net Common Stock Issuance,-2962000000.0,662000000.0,550000000.0,384000000.0,
Common Stock Payments,-3750000000.0,0.0,,,0.0
Common Stock Issuance,788000000.0,662000000.0,550000000.0,384000000.0,
Net Issuance Payments Of Debt,22916000000.0,-102438000000.0,-123432000000.0,-31350000000.0,
Net Long Term Debt Issuance,22916000000.0,-102438000000.0,-123432000000.0,-31350000000.0,
Long Term Debt Payments,-31482000000.0,-134495000000.0,-132514000000.0,-73563000000.0,
Long Term Debt Issuance,54398000000.0,32057000000.0,9082000000.0,42213000000.0,
Investing Cash Flow,-2861000000.0,-54019000000.0,-389009000000.0,-135741000000.0,
Net Other Investing Changes,,25628000000.0,5950000000.0,,
Interest Received Cfi,22735000000.0,25628000000.0,5950000000.0,1232000000.0,
Dividends Received Cfi,463000000.0,411000000.0,390000000.0,369000000.0,
Net Investment Purchase And Sale,164352000000.0,88190000000.0,-257177000000.0,-21791000000.0,
Sale Of Investment,171157000000.0,96872000000.0,,,47071000000.0
Purchase Of Investment,-6805000000.0,-8682000000.0,-257177000000.0,-21791000000.0,
Net Business Purchase And Sale,-1521000000.0,-9940000000.0,2989000000.0,4094000000.0,
Sale Of Business,4748000000.0,3545000000.0,6186000000.0,4651000000.0,
Purchase Of Business,-6269000000.0,-13485000000.0,-3197000000.0,-557000000.0,
Capital Expenditure Reported,-188890000000.0,-158308000000.0,-141161000000.0,-119645000000.0,
Operating Cash Flow,508888000000.0,537814000000.0,698152000000.0,522601000000.0,
Taxes Refund Paid,-385710000000.0,-441120000000.0,-502856000000.0,-292818000000.0,
Change In Working Capital,12043000000.0,5063000000.0,-44058000000.0,-53152000000.0,
Change In Other Current Assets,-12217000000.0,-20745000000.0,2511000000.0,-7302000000.0,
Change In Payable,7291000000.0,7799000000.0,15935000000.0,41572000000.0,
Change In Inventory,1506000000.0,11285000000.0,-26555000000.0,-23157000000.0,
Change In Receivables,11645000000.0,5214000000.0,-36134000000.0,-67612000000.0,
Other Non Cash Items,-11740000000.0,-16746000000.0,-3282000000.0,13980000000.0,
Depreciation And Amortization,103209000000.0,97040000000.0,91618000000.0,85521000000.0,
Depreciation,103209000000.0,97040000000.0,91618000000.0,85521000000.0,
Gain Loss On Investment Securities,-198000000.0,-3314000000.0,-136000000.0,27000000.0,
Gain Loss On Sale Of PPE,1983000000.0,1805000000.0,3861000000.0,3971000000.0,
Gain Loss On Sale Of Business,,,,,0.0
Net Income From Continuing Operations,782010000000.0,888067000000.0,1152962000000.0,769521000000.0,
