,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,308851000000.0,617757000000.0,954668000000.0,415483000000.0,
Repayment Of Debt,-96491000000.0,-122748000000.0,-62388000000.0,-81899000000.0,
Issuance Of Debt,273078000000.0,148642000000.0,145495000000.0,210676000000.0,
Capital Expenditure,-29172000000.0,-25093000000.0,-23751000000.0,-21235000000.0,
End Cash Position,569448000000.0,925463000000.0,1143652000000.0,805600000000.0,
Beginning Cash Position,925463000000.0,1143652000000.0,805600000000.0,878931000000.0,
Effect Of Exchange Rate Changes,5792000000.0,7542000000.0,17726000000.0,-7624000000.0,
Changes In Cash,-361807000000.0,-225731000000.0,320326000000.0,-65707000000.0,
Financing Cash Flow,-7198000000.0,-47327000000.0,-6425000000.0,16123000000.0,
Net Other Financing Charges,-46840000000.0,55457000000.0,28692000000.0,-8485000000.0,
Cash Dividends Paid,-136945000000.0,-128678000000.0,-118224000000.0,-104169000000.0,
Net Issuance Payments Of Debt,176587000000.0,25894000000.0,83107000000.0,128777000000.0,
Net Long Term Debt Issuance,176587000000.0,25894000000.0,83107000000.0,128777000000.0,
Long Term Debt Payments,-96491000000.0,-122748000000.0,-62388000000.0,-81899000000.0,
Long Term Debt Issuance,273078000000.0,148642000000.0,145495000000.0,210676000000.0,
Investing Cash Flow,-692632000000.0,-821254000000.0,-651668000000.0,-518548000000.0,
Net Other Investing Changes,,,,,-21000000.0
Net Investment Purchase And Sale,-667726000000.0,-801829000000.0,-628240000000.0,-495305000000.0,
Sale Of Investment,2987073000000.0,2188985000000.0,2046573000000.0,2128427000000.0,
Purchase Of Investment,-3654799000000.0,-2990814000000.0,-2674813000000.0,-2623732000000.0,
Net Business Purchase And Sale,-1281000000.0,1356000000.0,-3420000000.0,-4961000000.0,
Sale Of Business,1457000000.0,2484000000.0,,,
Purchase Of Business,-2738000000.0,-1128000000.0,-3420000000.0,-4961000000.0,
Net PPE Purchase And Sale,-23625000000.0,-20781000000.0,-20008000000.0,-18282000000.0,
Sale Of PPE,5547000000.0,4312000000.0,3743000000.0,2953000000.0,
Purchase Of PPE,-29172000000.0,-25093000000.0,-23751000000.0,-21235000000.0,
Capital Expenditure Reported,,,,,-25743000000.0
Operating Cash Flow,338023000000.0,642850000000.0,978419000000.0,436718000000.0,
Change In Working Capital,156202000000.0,413941000000.0,708497000000.0,177058000000.0,
Change In Payable,1852605000000.0,3375018000000.0,3852597000000.0,1852678000000.0,
Change In Receivables,-1696403000000.0,-2961077000000.0,-3144100000000.0,-1675620000000.0,
Other Non Cash Items,27795000000.0,20903000000.0,18960000000.0,14595000000.0,
Provisionand Write Offof Assets,120998000000.0,137237000000.0,155014000000.0,168715000000.0,
Deferred Tax,,-9078000000.0,-18105000000.0,,
Depreciation And Amortization,30230000000.0,29081000000.0,28482000000.0,27295000000.0,
Depreciation,30230000000.0,29081000000.0,28482000000.0,27295000000.0,
Gain Loss On Investment Securities,-5935000000.0,2464000000.0,11228000000.0,-8154000000.0,
Net Foreign Currency Exchange Gain Loss,-14580000000.0,-278000000.0,2869000000.0,-348000000.0,
Gain Loss On Sale Of PPE,-491000000.0,-299000000.0,-251000000.0,-251000000.0,
Net Income From Continuing Operations,336282000000.0,332460000000.0,324863000000.0,303928000000.0,
Cash Flowsfromusedin Operating Activities Direct,338023000000.0,642850000000.0,978419000000.0,436718000000.0,
Classesof Cash Payments,-3611741000000.0,-4302879000000.0,-4170967000000.0,-3227779000000.0,
Other Cash Paymentsfrom Operating Activities,-420402000000.0,-494177000000.0,-256985000000.0,-312005000000.0,
Paymentson Behalfof Employees,-127166000000.0,-126115000000.0,-118518000000.0,-112889000000.0,
Classesof Cash Receiptsfrom Operating Activities,3949764000000.0,4945729000000.0,5149386000000.0,3664497000000.0,
Other Cash Receiptsfrom Operating Activities,669533000000.0,542789000000.0,496566000000.0,390307000000.0,
