,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,11616000000.0,29787000000.0,21886000000.0,26151000000.0,
Repurchase Of Capital Stock,-2918000000.0,-9171000000.0,-7854000000.0,-27061000000.0,
Repayment Of Debt,-11947000000.0,-11311000000.0,-3928000000.0,-7048000000.0,
Issuance Of Debt,13186000000.0,7817000000.0,12695000000.0,6920000000.0,
Capital Expenditure,-18976000000.0,-19409000000.0,-15464000000.0,-13276000000.0,
End Cash Position,48376000000.0,38643000000.0,36399000000.0,88706000000.0,
Beginning Cash Position,38643000000.0,36399000000.0,88706000000.0,48396000000.0,
Effect Of Exchange Rate Changes,-212000000.0,116000000.0,-394000000.0,-1000000.0,
Changes In Cash,9945000000.0,2128000000.0,-51913000000.0,40311000000.0,
Financing Cash Flow,-10360000000.0,-14405000000.0,-1662000000.0,-28508000000.0,
Cash Flow From Continuing Financing Activities,-10360000000.0,-14405000000.0,-1662000000.0,-28508000000.0,
Net Other Financing Charges,-5622000000.0,-4147000000.0,-1979000000.0,-695000000.0,
Net Common Stock Issuance,-2918000000.0,-9171000000.0,-7854000000.0,-27061000000.0,
Common Stock Payments,-2918000000.0,-9171000000.0,-7854000000.0,-27061000000.0,
Net Issuance Payments Of Debt,-1820000000.0,-1087000000.0,8171000000.0,-752000000.0,
Net Short Term Debt Issuance,-3059000000.0,2407000000.0,-596000000.0,-624000000.0,
Net Long Term Debt Issuance,1239000000.0,-3494000000.0,8767000000.0,-128000000.0,
Long Term Debt Payments,-11947000000.0,-11311000000.0,-3928000000.0,-7048000000.0,
Long Term Debt Issuance,13186000000.0,7817000000.0,12695000000.0,6920000000.0,
Investing Cash Flow,-10287000000.0,-32663000000.0,-87601000000.0,29392000000.0,
Cash Flow From Continuing Investing Activities,-10287000000.0,-32663000000.0,-87601000000.0,29392000000.0,
Net Other Investing Changes,-195000000.0,685000000.0,239000000.0,770000000.0,
Net Investment Purchase And Sale,9280000000.0,-5335000000.0,-61782000000.0,42354000000.0,
Sale Of Investment,545359000000.0,246134000000.0,190070000000.0,203439000000.0,
Purchase Of Investment,-536079000000.0,-251469000000.0,-251852000000.0,-161085000000.0,
Net Business Purchase And Sale,-396000000.0,-8604000000.0,-10594000000.0,-456000000.0,
Purchase Of Business,-396000000.0,-8604000000.0,-10594000000.0,-456000000.0,
Net PPE Purchase And Sale,-18976000000.0,-19409000000.0,-15464000000.0,-13276000000.0,
Purchase Of PPE,-18976000000.0,-19409000000.0,-15464000000.0,-13276000000.0,
Operating Cash Flow,30592000000.0,49196000000.0,37350000000.0,39427000000.0,
Cash Flow From Continuing Operating Activities,30592000000.0,49196000000.0,37350000000.0,39427000000.0,
Change In Working Capital,-6784000000.0,20441000000.0,-15244000000.0,18718000000.0,
Change In Other Working Capital,-7465000000.0,15240000000.0,-12103000000.0,17132000000.0,
Change In Other Current Liabilities,-2288000000.0,2570000000.0,1719000000.0,2658000000.0,
Change In Other Current Assets,-206000000.0,98000000.0,-5157000000.0,-1708000000.0,
Change In Receivables,626000000.0,-1949000000.0,-5621000000.0,-5864000000.0,
Changes In Account Receivables,,,,-5834000000.0,-1609000000.0
Other Non Cash Items,-892000000.0,-513000000.0,-3074000000.0,-3382000000.0,
Unrealized Gain Loss On Investment Securities,-49297000000.0,-69144000000.0,63120000000.0,-76375000000.0,
Amortization Of Securities,-11349000000.0,-5510000000.0,-1132000000.0,,
Depreciation And Amortization,12855000000.0,12486000000.0,10899000000.0,10718000000.0,
Amortization Cash Flow,1795000000.0,1828000000.0,1233000000.0,1252000000.0,
Amortization Of Intangibles,1795000000.0,1828000000.0,1233000000.0,1252000000.0,
Depreciation,11060000000.0,10658000000.0,9666000000.0,9466000000.0,
Operating Gains Losses,-3502000000.0,-5711000000.0,4779000000.0,-1201000000.0,
Gain Loss On Investment Securities,-3502000000.0,-5711000000.0,4779000000.0,-1201000000.0,
Net Income From Continuing Operations,89561000000.0,97147000000.0,-21998000000.0,90949000000.0,
