,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,13373000000.0,10596000000.0,12753000000.0,15392000000.0,
Repurchase Of Capital Stock,-312000000.0,-1584000000.0,-1616000000.0,-556000000.0,
Repayment Of Debt,-3676000000.0,-3968000000.0,-3891000000.0,-6413000000.0,
Issuance Of Debt,3595000000.0,5990000000.0,3774000000.0,251000000.0,
Issuance Of Capital Stock,53000000.0,0.0,0.0,0.0,
Capital Expenditure,-5552000000.0,-7807000000.0,-5082000000.0,-3255000000.0,
End Cash Position,9269000000.0,7520000000.0,7100000000.0,7817000000.0,
Other Cash Adjustment Outside Changein Cash,-1000000.0,-3000000.0,-1000000.0,1000000.0,
Beginning Cash Position,7520000000.0,7100000000.0,7817000000.0,19806000000.0,
Effect Of Exchange Rate Changes,80000000.0,-273000000.0,55000000.0,498000000.0,
Changes In Cash,1670000000.0,696000000.0,-771000000.0,-12488000000.0,
Financing Cash Flow,-10716000000.0,-9397000000.0,-12686000000.0,-15156000000.0,
Net Other Financing Charges,-398000000.0,-234000000.0,-1756000000.0,-2050000000.0,
Cash Dividends Paid,-6492000000.0,-6251000000.0,-6025000000.0,-3527000000.0,
Common Stock Dividend Paid,-6492000000.0,-6251000000.0,-6025000000.0,-3527000000.0,
Net Common Stock Issuance,-259000000.0,-1584000000.0,-1616000000.0,-556000000.0,
Common Stock Payments,-312000000.0,-1584000000.0,-1616000000.0,-556000000.0,
Common Stock Issuance,53000000.0,0.0,0.0,0.0,
Net Issuance Payments Of Debt,-81000000.0,2022000000.0,-117000000.0,-6162000000.0,
Net Long Term Debt Issuance,-81000000.0,2022000000.0,-117000000.0,-6162000000.0,
Long Term Debt Payments,-3676000000.0,-3968000000.0,-3891000000.0,-6413000000.0,
Long Term Debt Issuance,3595000000.0,5990000000.0,3774000000.0,251000000.0,
Investing Cash Flow,-6539000000.0,-8310000000.0,-5920000000.0,-15979000000.0,
Net Other Investing Changes,-29000000.0,193000000.0,40000000.0,147000000.0,
Dividends Received Cfi,9000000.0,5000000.0,7000000.0,10000000.0,
Net Investment Purchase And Sale,-1017000000.0,-837000000.0,-958000000.0,-13325000000.0,
Net Business Purchase And Sale,-438000000.0,-721000000.0,-809000000.0,,-536000000.0
Net Intangibles Purchase And Sale,-837000000.0,-1000000000.0,-685000000.0,-580000000.0,
Purchase Of Intangibles,-837000000.0,-1000000000.0,-685000000.0,-580000000.0,
Net PPE Purchase And Sale,-4694000000.0,-6671000000.0,-4324000000.0,-2231000000.0,
Sale Of PPE,21000000.0,136000000.0,73000000.0,444000000.0,
Purchase Of PPE,-4715000000.0,-6807000000.0,-4397000000.0,-2675000000.0,
Operating Cash Flow,18925000000.0,18403000000.0,17835000000.0,18647000000.0,
Taxes Refund Paid,-5531000000.0,-5730000000.0,-5604000000.0,-4239000000.0,
Interest Paid Cfo,-840000000.0,-813000000.0,-314000000.0,-160000000.0,
Change In Working Capital,-1924000000.0,-4574000000.0,-3017000000.0,425000000.0,
Change In Other Current Assets,-283000000.0,-83000000.0,14000000.0,1002000000.0,
Change In Payable,-664000000.0,434000000.0,1532000000.0,1603000000.0,
Change In Inventory,-1114000000.0,-4230000000.0,-4169000000.0,-1567000000.0,
Change In Receivables,137000000.0,-695000000.0,-394000000.0,-613000000.0,
Other Non Cash Items,488000000.0,-259000000.0,-483000000.0,-405000000.0,
Depreciation And Amortization,7796000000.0,7177000000.0,6226000000.0,5830000000.0,
Depreciation,7796000000.0,7177000000.0,6226000000.0,5830000000.0,
Net Income From Continuing Operations,18907000000.0,22560000000.0,21001000000.0,17155000000.0,
