,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,1814000000.0,978000000.0,-383000000.0,-847000000.0,
Repurchase Of Capital Stock,-8420000000.0,-7277000000.0,-10516000000.0,-4995000000.0,
Repayment Of Debt,-43000000.0,-99000000.0,-56000000.0,-1619000000.0,
Issuance Of Debt,110000000.0,59000000.0,104000000.0,9564000000.0,
Issuance Of Capital Stock,,,0.0,66000000.0,0.0
Capital Expenditure,-106000000.0,-67000000.0,-263000000.0,-242000000.0,
End Cash Position,7074000000.0,2160000000.0,9537000000.0,9628000000.0,
Other Cash Adjustment Outside Changein Cash,-47000000.0,-350000000.0,-94000000.0,,
Beginning Cash Position,2160000000.0,9537000000.0,9628000000.0,3562000000.0,
Effect Of Exchange Rate Changes,-95000000.0,-165000000.0,-69000000.0,-124000000.0,
Changes In Cash,5056000000.0,-6862000000.0,72000000.0,6190000000.0,
Financing Cash Flow,-8739000000.0,-8116000000.0,-12451000000.0,2403000000.0,
Net Other Financing Charges,-70000000.0,-540000000.0,-1741000000.0,-324000000.0,
Cash Dividends Paid,-268000000.0,-199000000.0,-191000000.0,-238000000.0,
Common Stock Dividend Paid,-268000000.0,-199000000.0,-191000000.0,-238000000.0,
Net Common Stock Issuance,-8420000000.0,-7277000000.0,-10516000000.0,-4929000000.0,
Common Stock Payments,-8420000000.0,-7277000000.0,-10516000000.0,-4995000000.0,
Common Stock Issuance,,,0.0,66000000.0,0.0
Net Issuance Payments Of Debt,67000000.0,-40000000.0,48000000.0,7945000000.0,
Net Long Term Debt Issuance,67000000.0,-40000000.0,48000000.0,7945000000.0,
Long Term Debt Payments,-43000000.0,-99000000.0,-56000000.0,-1619000000.0,
Long Term Debt Issuance,110000000.0,59000000.0,104000000.0,9564000000.0,
Investing Cash Flow,11875000000.0,209000000.0,12643000000.0,4392000000.0,
Net Other Investing Changes,-36000000.0,-19000000.0,-33000000.0,-24000000.0,
Net Investment Purchase And Sale,3093000000.0,-7151000000.0,524000000.0,-4103000000.0,
Sale Of Investment,26620000000.0,6723000000.0,7688000000.0,1296000000.0,
Purchase Of Investment,-23527000000.0,-13874000000.0,-7164000000.0,-5399000000.0,
Net Business Purchase And Sale,8873000000.0,7398000000.0,12346000000.0,8774000000.0,
Sale Of Business,9346000000.0,7449000000.0,12668000000.0,14641000000.0,
Purchase Of Business,-473000000.0,-51000000.0,-322000000.0,-5867000000.0,
Net Intangibles Purchase And Sale,-22000000.0,-24000000.0,-34000000.0,-30000000.0,
Sale Of Intangibles,1000000.0,1000000.0,,,
Purchase Of Intangibles,-23000000.0,-25000000.0,-34000000.0,-30000000.0,
Net PPE Purchase And Sale,-80000000.0,-32000000.0,-218000000.0,-204000000.0,
Sale Of PPE,3000000.0,10000000.0,11000000.0,8000000.0,
Purchase Of PPE,-83000000.0,-42000000.0,-229000000.0,-212000000.0,
Operating Cash Flow,1920000000.0,1045000000.0,-120000000.0,-605000000.0,
Taxes Refund Paid,-111000000.0,-138000000.0,-107000000.0,-189000000.0,
Interest Received Cfo,959000000.0,847000000.0,315000000.0,38000000.0,
Interest Paid Cfo,-528000000.0,-557000000.0,-551000000.0,-381000000.0,
Dividend Received Cfo,1001000000.0,759000000.0,572000000.0,571000000.0,
Change In Working Capital,10000000.0,-106000000.0,-181000000.0,-494000000.0,
Change In Payable,-94000000.0,-207000000.0,-210000000.0,-96000000.0,
Change In Inventory,2000000.0,44000000.0,82000000.0,-190000000.0,
Change In Receivables,102000000.0,57000000.0,-53000000.0,-208000000.0,
Other Non Cash Items,-418000000.0,-511000000.0,85000000.0,1713000000.0,
Stock Based Compensation,176000000.0,221000000.0,-48000000.0,272000000.0,
Provisionand Write Offof Assets,117000000.0,117000000.0,111000000.0,33000000.0,
Depreciation And Amortization,146000000.0,170000000.0,169000000.0,168000000.0,
Amortization Cash Flow,62000000.0,,,,
Depreciation,84000000.0,170000000.0,169000000.0,168000000.0,
Gain Loss On Investment Securities,-378000000.0,-10000000.0,-87000000.0,-73000000.0,
Gain Loss On Sale Of Business,-6129000000.0,-4815000000.0,-7370000000.0,-12434000000.0,
Net Income From Continuing Operations,12674000000.0,7021000000.0,9757000000.0,18595000000.0,
