,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,15085000000.0,11446000000.0,13251000000.0,16427000000.0,
Repurchase Of Capital Stock,,,0.0,-18991000000.0,0.0
Repayment Of Debt,-3387000000.0,-1751000000.0,-15433000000.0,-2448000000.0,
Issuance Of Debt,7915000000.0,8342000000.0,8442000000.0,20312000000.0,
Issuance Of Capital Stock,-1130000000.0,-1144000000.0,-1257000000.0,-1406000000.0,
Capital Expenditure,-5009000000.0,-4649000000.0,-4552000000.0,-4549000000.0,
End Cash Position,6975000000.0,5376000000.0,4991000000.0,6850000000.0,
Beginning Cash Position,5376000000.0,4991000000.0,6850000000.0,5727000000.0,
Effect Of Exchange Rate Changes,-283000000.0,-828000000.0,-463000000.0,-193000000.0,
Changes In Cash,1882000000.0,1213000000.0,-1396000000.0,1316000000.0,
Financing Cash Flow,-6819000000.0,-4239000000.0,-16275000000.0,-13108000000.0,
Net Other Financing Charges,-3000000.0,153000000.0,-506000000.0,-543000000.0,
Interest Paid Cff,-1145000000.0,-770000000.0,-557000000.0,-405000000.0,
Cash Dividends Paid,-7650000000.0,-7590000000.0,-7446000000.0,-7773000000.0,
Common Stock Dividend Paid,,,,,-7700000000.0
Net Common Stock Issuance,-1130000000.0,-1144000000.0,-1257000000.0,-20397000000.0,
Common Stock Payments,,,0.0,-18991000000.0,0.0
Common Stock Issuance,-1130000000.0,-1144000000.0,-1257000000.0,-1406000000.0,
Net Issuance Payments Of Debt,3819000000.0,5785000000.0,-5698000000.0,16730000000.0,
Net Short Term Debt Issuance,-709000000.0,-806000000.0,1293000000.0,-1134000000.0,
Net Long Term Debt Issuance,4528000000.0,6591000000.0,-6991000000.0,17864000000.0,
Long Term Debt Payments,-3387000000.0,-1751000000.0,-15433000000.0,-2448000000.0,
Long Term Debt Issuance,7915000000.0,8342000000.0,8442000000.0,20312000000.0,
Investing Cash Flow,-11393000000.0,-10643000000.0,-2924000000.0,-6552000000.0,
Net Other Investing Changes,1156000000.0,-5629000000.0,386000000.0,-174000000.0,
Interest Received Cfi,232000000.0,168000000.0,32000000.0,-2000000.0,
Net Investment Purchase And Sale,-4998000000.0,-707000000.0,1127000000.0,363000000.0,
Sale Of Investment,198000000.0,125000000.0,1398000000.0,564000000.0,
Purchase Of Investment,-5196000000.0,-832000000.0,-271000000.0,-201000000.0,
Net Business Purchase And Sale,-2835000000.0,1000000.0,1000000.0,-2251000000.0,
Sale Of Business,1000000.0,1000000.0,1000000.0,7000000.0,
Purchase Of Business,-2836000000.0,0.0,0.0,-2258000000.0,
Net Intangibles Purchase And Sale,-1480000000.0,-907000000.0,-1103000000.0,-856000000.0,
Sale Of Intangibles,0.0,0.0,0.0,0.0,
Purchase Of Intangibles,-1480000000.0,-907000000.0,-1103000000.0,-856000000.0,
Net PPE Purchase And Sale,-3468000000.0,-3569000000.0,-3367000000.0,-3632000000.0,
Sale Of PPE,61000000.0,173000000.0,82000000.0,61000000.0,
Purchase Of PPE,-3529000000.0,-3742000000.0,-3449000000.0,-3693000000.0,
Operating Cash Flow,20094000000.0,16095000000.0,17803000000.0,20976000000.0,
Taxes Refund Paid,-3727000000.0,-3620000000.0,-4102000000.0,-3343000000.0,
Change In Working Capital,1161000000.0,-1107000000.0,-2418000000.0,-994000000.0,
Other Non Cash Items,1640000000.0,1260000000.0,1131000000.0,722000000.0,
Stock Based Compensation,855000000.0,830000000.0,738000000.0,663000000.0,
Provisionand Write Offof Assets,883000000.0,572000000.0,514000000.0,1864000000.0,
Deferred Tax,2606000000.0,1721000000.0,2796000000.0,2463000000.0,
Depreciation And Amortization,3423000000.0,3464000000.0,3844000000.0,4443000000.0,
Amortization Cash Flow,742000000.0,716000000.0,938000000.0,1556000000.0,
Depreciation,2681000000.0,2748000000.0,2906000000.0,2887000000.0,
Pension And Employee Benefit Expense,504000000.0,453000000.0,611000000.0,678000000.0,
Gain Loss On Investment Securities,-616000000.0,-558000000.0,-612000000.0,-496000000.0,
Net Income From Continuing Operations,9187000000.0,12358000000.0,13531000000.0,14935000000.0,
