,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,4423000000.0,5547000000.0,4770000000.0,5522000000.0,
Repurchase Of Capital Stock,-2106000000.0,-949000000.0,-1500000000.0,0.0,
Repayment Of Debt,-1495000000.0,-4413000000.0,-1855000000.0,-2327000000.0,
Issuance Of Debt,2767000000.0,13000000.0,158000000.0,1680000000.0,
Capital Expenditure,-797000000.0,-785000000.0,-877000000.0,-701000000.0,
End Cash Position,9609000000.0,8124000000.0,9008000000.0,8898000000.0,
Beginning Cash Position,8124000000.0,9008000000.0,8898000000.0,5311000000.0,
Effect Of Exchange Rate Changes,333000000.0,-388000000.0,134000000.0,484000000.0,
Changes In Cash,1152000000.0,-496000000.0,-24000000.0,3103000000.0,
Financing Cash Flow,-3412000000.0,-7734000000.0,-6337000000.0,-56000000.0,
Cash From Discontinued Financing Activities,0.0,24000000.0,-263000000.0,2828000000.0,
Cash Flow From Continuing Financing Activities,-3411000000.0,-7757000000.0,-6074000000.0,-2885000000.0,
Net Other Financing Charges,-13000000.0,-14000000.0,-12000000.0,-55000000.0,
Cash Dividends Paid,-2565000000.0,-2395000000.0,-2865000000.0,-2182000000.0,
Common Stock Dividend Paid,-2565000000.0,-2395000000.0,-2865000000.0,-2182000000.0,
Net Common Stock Issuance,-2106000000.0,-949000000.0,-1500000000.0,0.0,
Common Stock Payments,-2106000000.0,-949000000.0,-1500000000.0,0.0,
Net Issuance Payments Of Debt,1272000000.0,-4400000000.0,-1697000000.0,-647000000.0,
Net Long Term Debt Issuance,1272000000.0,-4400000000.0,-1697000000.0,-647000000.0,
Long Term Debt Payments,-1495000000.0,-4413000000.0,-1855000000.0,-2327000000.0,
Long Term Debt Issuance,2767000000.0,13000000.0,158000000.0,1680000000.0,
Investing Cash Flow,-656000000.0,906000000.0,667000000.0,-3063000000.0,
Cash From Discontinued Investing Activities,0.0,5510000000.0,-32000000.0,-208000000.0,
Cash Flow From Continuing Investing Activities,-657000000.0,-4604000000.0,698000000.0,-2855000000.0,
Net Other Investing Changes,1000000.0,,1000000.0,-1000000.0,1000000.0
Net Investment Purchase And Sale,1132000000.0,-2659000000.0,1870000000.0,-1139000000.0,
Sale Of Investment,7533000000.0,907000000.0,4190000000.0,3229000000.0,
Purchase Of Investment,-6401000000.0,-3566000000.0,-2320000000.0,-4368000000.0,
Net Business Purchase And Sale,-1114000000.0,-1259000000.0,-390000000.0,-1104000000.0,
Sale Of Business,0.0,0.0,289000000.0,,203000000.0
Purchase Of Business,-1114000000.0,-1259000000.0,-679000000.0,-1104000000.0,
Net Intangibles Purchase And Sale,-675000000.0,-686000000.0,-782000000.0,-612000000.0,
Sale Of Intangibles,122000000.0,99000000.0,95000000.0,89000000.0,
Purchase Of Intangibles,-797000000.0,-785000000.0,-877000000.0,-701000000.0,
Capital Expenditure Reported,,,,,-816000000.0
Operating Cash Flow,5220000000.0,6332000000.0,5647000000.0,6223000000.0,
Cash From Discontinued Operating Activities,0.0,122000000.0,-29000000.0,41000000.0,
Cash Flow From Continuing Operating Activities,5218000000.0,6211000000.0,5674000000.0,6182000000.0,
Taxes Refund Paid,-2277000000.0,-2161000000.0,-1642000000.0,-2047000000.0,
Interest Received Cfo,563000000.0,469000000.0,156000000.0,56000000.0,
Interest Paid Cfo,-550000000.0,-393000000.0,-244000000.0,-198000000.0,
Change In Working Capital,623000000.0,-27000000.0,-143000000.0,213000000.0,
Change In Other Working Capital,899000000.0,433000000.0,720000000.0,-68000000.0,
Change In Other Current Assets,-632000000.0,-700000000.0,-1213000000.0,-645000000.0,
Change In Payables And Accrued Expense,603000000.0,633000000.0,154000000.0,429000000.0,
Change In Payable,603000000.0,633000000.0,154000000.0,429000000.0,
Change In Account Payable,603000000.0,633000000.0,154000000.0,429000000.0,
Change In Receivables,-247000000.0,-393000000.0,196000000.0,497000000.0,
Other Non Cash Items,-1568000000.0,-613000000.0,36000000.0,-3219000000.0,
Stock Based Compensation,2385000000.0,2220000000.0,1431000000.0,1335000000.0,
Provisionand Write Offof Assets,,,,,68000000.0
Deferred Tax,1614000000.0,1741000000.0,1446000000.0,1682000000.0,
Deferred Income Tax,1614000000.0,1741000000.0,1446000000.0,1682000000.0,
Depreciation Amortization Depletion,1280000000.0,1373000000.0,1569000000.0,1537000000.0,
Depreciation And Amortization,1280000000.0,1373000000.0,1569000000.0,1537000000.0,
Net Income From Continuing Operations,3150000000.0,3601000000.0,3067000000.0,6823000000.0,
