,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,162473000000.0,174555000000.0,95241000000.0,113021000000.0,
Repurchase Of Capital Stock,-102331000000.0,-43767000000.0,-29307000000.0,-2170000000.0,
Repayment Of Debt,-128904000000.0,-54146000000.0,-23829000000.0,-23721000000.0,
Issuance Of Debt,114584000000.0,63450000000.0,30236000000.0,83511000000.0,
Issuance Of Capital Stock,-1488000000.0,-3308000000.0,-1887000000.0,-1784000000.0,
Capital Expenditure,-96048000000.0,-47407000000.0,-50850000000.0,-62165000000.0,
End Cash Position,132519000000.0,172320000000.0,156739000000.0,167966000000.0,
Beginning Cash Position,172320000000.0,156739000000.0,167966000000.0,152798000000.0,
Effect Of Exchange Rate Changes,359000000.0,1353000000.0,7506000000.0,-3089000000.0,
Changes In Cash,-40160000000.0,14228000000.0,-18733000000.0,18257000000.0,
Financing Cash Flow,-176494000000.0,-82573000000.0,-59953000000.0,21620000000.0,
Net Other Financing Charges,-8325000000.0,-4884000000.0,-4738000000.0,-8362000000.0,
Interest Paid Cff,-12417000000.0,-11478000000.0,-9342000000.0,-7525000000.0,
Cash Dividends Paid,-28859000000.0,-20983000000.0,-12952000000.0,-12503000000.0,
Common Stock Dividend Paid,-28859000000.0,-20983000000.0,-12952000000.0,-12503000000.0,
Net Common Stock Issuance,-103819000000.0,-47075000000.0,-31194000000.0,-3954000000.0,
Common Stock Payments,-102331000000.0,-43767000000.0,-29307000000.0,-2170000000.0,
Common Stock Issuance,-1488000000.0,-3308000000.0,-1887000000.0,-1784000000.0,
Net Issuance Payments Of Debt,-14320000000.0,9304000000.0,6407000000.0,59790000000.0,
Net Short Term Debt Issuance,22514000000.0,19920000000.0,-7677000000.0,159000000.0,
Short Term Debt Payments,-40049000000.0,-9889000000.0,-15378000000.0,-22944000000.0,
Short Term Debt Issuance,62563000000.0,29809000000.0,7701000000.0,23103000000.0,
Net Long Term Debt Issuance,-36834000000.0,-10616000000.0,14084000000.0,59631000000.0,
Long Term Debt Payments,-88855000000.0,-44257000000.0,-8451000000.0,-777000000.0,
Long Term Debt Issuance,52021000000.0,33641000000.0,22535000000.0,60408000000.0,
Investing Cash Flow,-122187000000.0,-125161000000.0,-104871000000.0,-178549000000.0,
Net Other Investing Changes,,,,,-859000000.0
Interest Received Cfi,14913000000.0,10349000000.0,8506000000.0,4923000000.0,
Dividends Received Cfi,3521000000.0,2011000000.0,2192000000.0,3324000000.0,
Net Investment Purchase And Sale,-39690000000.0,-82126000000.0,-61412000000.0,-47717000000.0,
Sale Of Investment,345222000000.0,220764000000.0,120610000000.0,117799000000.0,
Purchase Of Investment,-384912000000.0,-302890000000.0,-182022000000.0,-165516000000.0,
Net Business Purchase And Sale,-4941000000.0,-8900000000.0,-1235000000.0,-66981000000.0,
Sale Of Business,4895000000.0,4383000000.0,22654000000.0,5418000000.0,
Purchase Of Business,-9836000000.0,-13283000000.0,-23889000000.0,-72399000000.0,
Net Intangibles Purchase And Sale,-33121000000.0,-26399000000.0,-27645000000.0,-31159000000.0,
Purchase Of Intangibles,-33121000000.0,-26399000000.0,-27645000000.0,-31159000000.0,
Net PPE Purchase And Sale,-62724000000.0,-20751000000.0,-22829000000.0,-30815000000.0,
Sale Of PPE,203000000.0,257000000.0,376000000.0,191000000.0,
Purchase Of PPE,-62927000000.0,-21008000000.0,-23205000000.0,-31006000000.0,
Operating Cash Flow,258521000000.0,221962000000.0,146091000000.0,175186000000.0,
Taxes Refund Paid,-46184000000.0,-34729000000.0,-27669000000.0,-28526000000.0,
Change In Working Capital,21881000000.0,19233000000.0,-18472000000.0,891000000.0,
Change In Other Current Assets,16533000000.0,3821000000.0,-6637000000.0,2293000000.0,
Change In Payable,3744000000.0,9071000000.0,-9130000000.0,19109000000.0,
Change In Prepaid Assets,2632000000.0,5469000000.0,-5840000000.0,-17782000000.0,
Change In Inventory,20000000.0,1882000000.0,-1201000000.0,1297000000.0,
Change In Receivables,-1048000000.0,-1010000000.0,4336000000.0,-4026000000.0,
Other Non Cash Items,-3557000000.0,-1923000000.0,1393000000.0,1268000000.0,
Stock Based Compensation,20702000000.0,21073000000.0,24949000000.0,21625000000.0,
Deferred Tax,45018000000.0,43276000000.0,21516000000.0,20252000000.0,
Depreciation And Amortization,56213000000.0,59008000000.0,61216000000.0,57670000000.0,
Amortization Cash Flow,28881000000.0,32703000000.0,32772000000.0,31504000000.0,
Depreciation,27332000000.0,26305000000.0,28444000000.0,26166000000.0,
Gain Loss On Investment Securities,-3356000000.0,1573000000.0,6802000000.0,-48377000000.0,
Net Foreign Currency Exchange Gain Loss,-466000000.0,383000000.0,-633000000.0,-804000000.0,
Gain Loss On Sale Of PPE,-194000000.0,-126000000.0,-108000000.0,-35000000.0,
Gain Loss On Sale Of Business,-12810000000.0,-4283000000.0,-172707000000.0,-118051000000.0,
Net Income From Continuing Operations,196467000000.0,118048000000.0,188709000000.0,227810000000.0,
