,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,861195500000.0,286568900000.0,520972800000.0,262724300000.0,
Repurchase Of Capital Stock,-3089200000.0,0.0,-871600000.0,0.0,
Repayment Of Debt,-38665900000.0,-22711200000.0,-118955000000.0,-4585300000.0,
Issuance Of Debt,65197000000.0,116058600000.0,200963600000.0,401771200000.0,
Capital Expenditure,-964981600000.0,-955398400000.0,-1089626400000.0,-849436400000.0,
End Cash Position,2127627000000.0,1465427800000.0,1342814100000.0,1064990200000.0,
Beginning Cash Position,1465427800000.0,1342814100000.0,1064990200000.0,660170600000.0,
Effect Of Exchange Rate Changes,47165900000.0,-8338800000.0,58397000000.0,-7583800000.0,
Changes In Cash,615033300000.0,130952500000.0,219426900000.0,412403400000.0,
Financing Cash Flow,-346301000000.0,-204894200000.0,-200244000000.0,136608500000.0,
Cash Flow From Continuing Financing Activities,-346301000000.0,-204894200000.0,-200244000000.0,136608500000.0,
Net Other Financing Charges,12063500000.0,10839300000.0,16071800000.0,9042600000.0,
Interest Paid Cff,-18751200000.0,-17359000000.0,-12218600000.0,-3833600000.0,
Cash Dividends Paid,-363055200000.0,-291721900000.0,-285234200000.0,-265786400000.0,
Common Stock Dividend Paid,-363055226000.0,-291721852000.0,-285234200000.0,-265786400000.0,
Net Common Stock Issuance,-3089200000.0,0.0,-871600000.0,0.0,
Common Stock Payments,-3089200000.0,0.0,-871600000.0,0.0,
Net Issuance Payments Of Debt,26531100000.0,93347400000.0,82008600000.0,397185900000.0,
Net Short Term Debt Issuance,-26496600000.0,27908600000.0,-111960000000.0,35668400000.0,
Short Term Debt Payments,-26496600000.0,0.0,-111960000000.0,0.0,
Short Term Debt Issuance,,27908600000.0,0.0,35668400000.0,7485300000.0
Net Long Term Debt Issuance,53027700000.0,65438800000.0,193968600000.0,361517500000.0,
Long Term Debt Payments,-12169300000.0,-22711200000.0,-6995000000.0,-4585300000.0,
Long Term Debt Issuance,65197000000.0,88150000000.0,200963600000.0,366102800000.0,
Investing Cash Flow,-864842800000.0,-906120600000.0,-1190928300000.0,-836365800000.0,
Cash Flow From Continuing Investing Activities,-864842800000.0,-906120600000.0,-1190928300000.0,-836365800000.0,
Net Other Investing Changes,77127800000.0,44943400000.0,5439700000.0,-485700000.0,
Interest Received Cfi,76434100000.0,55887200000.0,18083700000.0,5990900000.0,
Dividends Received Cfi,3507000000.0,3521600000.0,3016500000.0,2498700000.0,
Net Investment Purchase And Sale,-54143100000.0,-55781400000.0,-128837700000.0,4676300000.0,
Sale Of Investment,186479600000.0,170500600000.0,108980400000.0,264364700000.0,
Purchase Of Investment,-240622700000.0,-226282000000.0,-237818100000.0,-259688400000.0,
Net Business Purchase And Sale,-3738800000.0,0.0,0.0,,
Purchase Of Business,-3738800000.0,0.0,0.0,,
Net Intangibles Purchase And Sale,-8818500000.0,-5515300000.0,-6941700000.0,-9040700000.0,
Sale Of Intangibles,57200000.0,3100000.0,12600000.0,0.0,
Purchase Of Intangibles,-8875700000.0,-5518400000.0,-6954300000.0,-9040700000.0,
Net PPE Purchase And Sale,-955211300000.0,-949176100000.0,-1081688800000.0,-840005300000.0,
Sale Of PPE,894600000.0,703900000.0,983300000.0,390400000.0,
Purchase Of PPE,-956105900000.0,-949880000000.0,-1082672100000.0,-840395700000.0,
Operating Cash Flow,1826177100000.0,1241967300000.0,1610599200000.0,1112160700000.0,
Cash Flow From Continuing Operating Activities,1826177100000.0,1241967300000.0,1610599200000.0,1112160700000.0,
Taxes Refund Paid,-183640100000.0,-159875100000.0,-86561200000.0,-83497900000.0,
Change In Working Capital,13350900000.0,-56852000000.0,122508500000.0,132466300000.0,
Change In Other Working Capital,-4551600000.0,-1117900000.0,-3893200000.0,2014000000.0,
Change In Other Current Liabilities,16768700000.0,13329900000.0,101390500000.0,154086000000.0,
Change In Other Current Assets,-17914800000.0,-10652200000.0,-6131500000.0,-12135900000.0,
Change In Payables And Accrued Expense,125998100000.0,-57962500000.0,92235600000.0,96525100000.0,
Change In Accrued Expense,94813700000.0,-55498300000.0,71802700000.0,85166400000.0,
Change In Payable,31184400000.0,-2464200000.0,20432900000.0,11358700000.0,
Change In Account Payable,17073800000.0,847000000.0,7594100000.0,8298300000.0,
Change In Inventory,-36871700000.0,-29847900000.0,-28046800000.0,-55748900000.0,
Change In Receivables,-70077800000.0,29398600000.0,-33046100000.0,-52274000000.0,
Changes In Account Receivables,,,-32169900000.0,-52105900000.0,-8082700000.0
Other Non Cash Items,-77153700000.0,-48632500000.0,-10533400000.0,-708800000.0,
Stock Based Compensation,1242700000.0,483000000.0,302400000.0,7800000.0,
Provisionand Write Offof Assets,,,,,3700000.0
Asset Impairment Charge,1200400000.0,35700000.0,843100000.0,271700000.0,
Depreciation Amortization Depletion,662796600000.0,532190900000.0,437254300000.0,422394900000.0,
Depreciation And Amortization,662796600000.0,532190900000.0,437254300000.0,422394900000.0,
Amortization Cash Flow,9186100000.0,9258200000.0,8756100000.0,8207200000.0,
Amortization Of Intangibles,9186100000.0,9258200000.0,8756100000.0,8207200000.0,
Depreciation,653610500000.0,522932700000.0,428498200000.0,414187700000.0,
Operating Gains Losses,2540300000.0,-4699200000.0,2713300000.0,-21809300000.0,
Earnings Losses From Equity Investments,-4880700000.0,-4800200000.0,-7679800000.0,-5512700000.0,
Gain Loss On Investment Securities,253900000.0,-2600000.0,143300000.0,-455500000.0,
Net Foreign Currency Exchange Gain Loss,4576300000.0,-246700000.0,10342700000.0,-16115900000.0,
Gain Loss On Sale Of PPE,2597900000.0,366100000.0,-92900000.0,274800000.0,
Gain Loss On Sale Of Business,-7100000.0,-15800000.0,0.0,0.0,
Net Income From Continuing Operations,1405840000000.0,979316500000.0,1144072200000.0,663036000000.0,
