,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.2,0.2,0.2,0.2,
Normalized EBITDA,895759000000.0,993293000000.0,1253462000000.0,867100000000.0,
Total Unusual Items,,,,13000000.0,29000000.0
Total Unusual Items Excluding Goodwill,,,,13000000.0,29000000.0
Net Income From Continuing Operation Net Minority Interest,393891000000.0,452753000000.0,597215000000.0,395203000000.0,
Reconciled Depreciation,103209000000.0,97040000000.0,91618000000.0,85521000000.0,
Reconciled Cost Of Revenue,923446000000.0,896583000000.0,684220000000.0,659186000000.0,
EBITDA,895759000000.0,993293000000.0,1253462000000.0,867100000000.0,
EBIT,792550000000.0,896253000000.0,1161844000000.0,781579000000.0,
Net Interest Income,8502000000.0,20204000000.0,4433000000.0,-11250000000.0,
Interest Expense,10540000000.0,8186000000.0,8882000000.0,12058000000.0,
Interest Income,16868000000.0,22275000000.0,7955000000.0,795000000.0,
Normalized Income,393891000000.0,452753000000.0,597215000000.0,395203000000.0,
Net Income From Continuing And Discontinued Operation,393891000000.0,452753000000.0,597215000000.0,395203000000.0,
Total Expenses,1027049000000.0,988086000000.0,1122296000000.0,729840000000.0,
Rent Expense Supplemental,,231795000000.0,341510000000.0,,
Total Operating Income As Reported,774625000000.0,868287000000.0,1144077000000.0,771918000000.0,
Diluted Average Shares,200532000000.0,241933000000.0,241907000000.0,241886700000.0,
Basic Average Shares,200532000000.0,241933000000.0,241907000000.0,241886700000.0,
Diluted EPS,1.63,1.87,2.47,1.636364,
Basic EPS,1.63,1.87,2.47,1.636364,
Diluted NI Availto Com Stockholders,393891000000.0,452753000000.0,597215000000.0,395203000000.0,
Net Income Common Stockholders,393891000000.0,452753000000.0,597215000000.0,395203000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,393891000000.0,452753000000.0,597215000000.0,395203000000.0,
Minority Interests,-4531000000.0,-2011000000.0,-6790000000.0,-17193000000.0,
Net Income Including Noncontrolling Interests,398422000000.0,454764000000.0,604005000000.0,412396000000.0,
Net Income Continuous Operations,398422000000.0,454764000000.0,604005000000.0,412396000000.0,
Tax Provision,383588000000.0,433303000000.0,548957000000.0,357125000000.0,
Pretax Income,782010000000.0,888067000000.0,1152962000000.0,769521000000.0,
Net Non Operating Interest Income Expense,8502000000.0,20204000000.0,4433000000.0,-11250000000.0,
Total Other Finance Cost,-2174000000.0,-6115000000.0,-5360000000.0,-13000000.0,
Interest Expense Non Operating,10540000000.0,8186000000.0,8882000000.0,12058000000.0,
Interest Income Non Operating,16868000000.0,22275000000.0,7955000000.0,795000000.0,
Operating Income,774625000000.0,868287000000.0,1144077000000.0,771918000000.0,
Operating Expense,103603000000.0,91503000000.0,438076000000.0,70654000000.0,
Other Operating Expenses,8552000000.0,9416000000.0,8447000000.0,7285000000.0,
Research And Development,5816000000.0,5197000000.0,4419000000.0,3873000000.0,
Selling General And Administration,89235000000.0,76890000000.0,83700000000.0,59496000000.0,
Selling And Marketing Expense,,76890000000.0,83700000000.0,59496000000.0,46970000000.0
General And Administrative Expense,89235000000.0,76890000000.0,83700000000.0,59496000000.0,
Rent And Landing Fees,,231795000000.0,341510000000.0,,
Gross Profit,878228000000.0,959790000000.0,1582153000000.0,842572000000.0,
Cost Of Revenue,923446000000.0,896583000000.0,684220000000.0,659186000000.0,
Total Revenue,1801674000000.0,1856373000000.0,2266373000000.0,1501758000000.0,
Operating Revenue,1801674000000.0,1856373000000.0,2266373000000.0,1501758000000.0,
