,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-37086681.313018,-11326202.267868,-986813810.415278,-203273881.136577
Tax Rate For Calcs,0.143192,0.166562,0.165406,0.178154
Total Unusual Items,-259000000.0,-68000000.0,-5966000000.0,-1141000000.0
Total Unusual Items Excluding Goodwill,-259000000.0,-68000000.0,-5966000000.0,-1141000000.0
Net Income From Continuing Operation Net Minority Interest,237841000000.0,231904000000.0,226522000000.0,216559000000.0
Reconciled Depreciation,29221000000.0,30416000000.0,28868000000.0,28792000000.0
Net Interest Income,448934000000.0,466545000000.0,459266000000.0,425142000000.0
Interest Expense,622605000000.0,582306000000.0,421582000000.0,364346000000.0
Interest Income,1071539000000.0,1048851000000.0,880848000000.0,789488000000.0
Normalized Income,238062913318.68698,231960673797.73215,231501186189.58472,217496726118.86343
Net Income From Continuing And Discontinued Operation,237841000000.0,231904000000.0,226522000000.0,216559000000.0
Diluted Average Shares,317121333333.0,313383783784.0,314613888889.0,309370000000.0
Basic Average Shares,317121333333.0,313383783784.0,314613888889.0,309370000000.0
Diluted EPS,0.75,0.74,0.72,0.7
Basic EPS,0.75,0.74,0.72,0.7
Net Income Common Stockholders,237841000000.0,231904000000.0,226522000000.0,216559000000.0
Net Income,237841000000.0,231904000000.0,226522000000.0,216559000000.0
Minority Interests,-14878000000.0,-14467000000.0,-10203000000.0,-10780000000.0
Net Income Including Noncontrolling Interests,252719000000.0,246371000000.0,236725000000.0,227339000000.0
Net Income Continuous Operations,252719000000.0,246371000000.0,236725000000.0,227339000000.0
Tax Provision,42235000000.0,49237000000.0,46916000000.0,49281000000.0
Pretax Income,294954000000.0,295608000000.0,283641000000.0,276620000000.0
Other Non Operating Income Expenses,2491000000.0,1535000000.0,-137000000.0,489000000.0
Special Income Charges,-259000000.0,-68000000.0,-5966000000.0,-1141000000.0
Write Off,259000000.0,68000000.0,5966000000.0,1141000000.0
Gain On Sale Of Security,39216000000.0,23499000000.0,6979000000.0,35074000000.0
Operating Expense,234905000000.0,222254000000.0,197630000000.0,225208000000.0
Other Operating Expenses,53643000000.0,44751000000.0,25319000000.0,54606000000.0
Depreciation And Amortization In Income Statement,23601000000.0,24853000000.0,23908000000.0,23882000000.0
Depreciation Income Statement,23601000000.0,24853000000.0,23908000000.0,23882000000.0
Selling General And Administration,44237000000.0,44778000000.0,45647000000.0,47403000000.0
General And Administrative Expense,44237000000.0,44778000000.0,45647000000.0,47403000000.0
Total Revenue,629415000000.0,621924000000.0,584722000000.0,604081000000.0
Operating Revenue,629415000000.0,621924000000.0,584722000000.0,604081000000.0
