,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,32482400.0,
Tax Rate For Calcs,0.186,0.158,0.15023,0.152,
Normalized EBITDA,10123600000.0,9976000000.0,7100500000.0,7017400000.0,
Total Unusual Items,,,,213700000.0,
Total Unusual Items Excluding Goodwill,,,,213700000.0,
Net Income From Continuing Operation Net Minority Interest,7571600000.0,7839000000.0,5624200000.0,5883200000.0,
Reconciled Depreciation,918600000.0,739800000.0,583600000.0,471000000.0,
Reconciled Cost Of Revenue,13770900000.0,13422400000.0,10473300000.0,8802000000.0,
EBITDA,10123600000.0,9976000000.0,7100500000.0,7231100000.0,
EBIT,9205000000.0,9236200000.0,6516900000.0,6760100000.0,
Net Interest Income,19800000.0,41200000.0,-44600000.0,-44600000.0,
Interest Expense,162600000.0,152700000.0,60800000.0,54600000.0,
Interest Income,182400000.0,193900000.0,16200000.0,10000000.0,
Normalized Income,7571600000.0,7839000000.0,5624200000.0,5701982400.0,
Net Income From Continuing And Discontinued Operation,7571600000.0,7839000000.0,5624200000.0,5883200000.0,
Total Expenses,19240300000.0,18516200000.0,14672700000.0,12074600000.0,
Total Operating Income As Reported,9022600000.0,9042300000.0,6500700000.0,6750100000.0,
Diluted Average Shares,393600000.0,394100000.0,398000000.0,410400000.0,
Basic Average Shares,393300000.0,393800000.0,397700000.0,409800000.0,
Diluted EPS,19.24,20.59,16.07,14.34,
Basic EPS,19.25,20.61,16.08,14.36,
Diluted NI Availto Com Stockholders,7571600000.0,7839000000.0,5624200000.0,5883200000.0,
Net Income Common Stockholders,7571600000.0,7839000000.0,5624200000.0,5883200000.0,
Net Income,7571600000.0,7839000000.0,5624200000.0,5883200000.0,
Net Income Including Noncontrolling Interests,7571600000.0,7839000000.0,5624200000.0,5883200000.0,
Net Income Continuous Operations,7571600000.0,7839000000.0,5624200000.0,5883200000.0,
Earnings From Equity Interest Net Of Tax,209800000.0,191300000.0,138000000.0,199100000.0,
Tax Provision,1680600000.0,1435800000.0,969900000.0,1021400000.0,
Pretax Income,9042400000.0,9083500000.0,6456100000.0,6705500000.0,
Other Income Expense,,,,213700000.0,
Other Non Operating Income Expenses,,,,213700000.0,
Special Income Charges,,,,213700000.0,
Gain On Sale Of Business,,,,213700000.0,
Net Non Operating Interest Income Expense,19800000.0,41200000.0,-44600000.0,-44600000.0,
Total Other Finance Cost,,,,,34900000.0
Interest Expense Non Operating,162600000.0,152700000.0,60800000.0,54600000.0,
Interest Income Non Operating,182400000.0,193900000.0,16200000.0,10000000.0,
Operating Income,9022600000.0,9042300000.0,6500700000.0,6536400000.0,
Operating Expense,5469400000.0,5093800000.0,4199400000.0,3272600000.0,
Research And Development,4303700000.0,3980600000.0,3253500000.0,2547000000.0,
Selling General And Administration,1165700000.0,1113200000.0,945900000.0,725600000.0,
Gross Profit,14492000000.0,14136100000.0,10700100000.0,9809000000.0,
Cost Of Revenue,13770900000.0,13422400000.0,10473300000.0,8802000000.0,
Total Revenue,28262900000.0,27558500000.0,21173400000.0,18611000000.0,
Operating Revenue,28262900000.0,27558500000.0,21173400000.0,18611000000.0,
