,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-1407038017.432698,-2333040759.47872,-473173583.001626,-6285250000.0,
Tax Rate For Calcs,0.228008,0.221751,0.174345,0.25,
Normalized EBITDA,213681000000.0,174532000000.0,155826000000.0,153367000000.0,
Total Unusual Items,-6171000000.0,-10521000000.0,-2714000000.0,-25141000000.0,
Total Unusual Items Excluding Goodwill,-6171000000.0,-10521000000.0,-2714000000.0,-25141000000.0,
Net Income From Continuing Operation Net Minority Interest,130109000000.0,80009000000.0,72783000000.0,62249000000.0,
Reconciled Depreciation,42459000000.0,44504000000.0,46938000000.0,48065000000.0,
Reconciled Cost Of Revenue,562162000000.0,563411000000.0,516261000000.0,503032000000.0,
EBITDA,207510000000.0,164011000000.0,153112000000.0,128226000000.0,
EBIT,165051000000.0,119507000000.0,106174000000.0,80161000000.0,
Net Interest Income,11163000000.0,-17911000000.0,-16989000000.0,-20611000000.0,
Interest Expense,9596000000.0,17911000000.0,16989000000.0,20611000000.0,
Interest Income,20759000000.0,,,,72794000000.0
Normalized Income,134872961982.5673,88196959240.52129,75023826416.99837,81104750000.0,
Net Income From Continuing And Discontinued Operation,130109000000.0,80009000000.0,72783000000.0,62249000000.0,
Total Expenses,849271000000.0,817297000000.0,765622000000.0,758283000000.0,
Total Operating Income As Reported,140905000000.0,113350000000.0,100351000000.0,69638000000.0,
Diluted Average Shares,2414750000.0,2544875000.0,2639250000.0,2723375000.0,
Basic Average Shares,2348875000.0,2522750000.0,2622500000.0,2694750000.0,
Diluted EPS,53.6,31.28,27.44,22.72,
Basic EPS,55.12,31.6,27.68,22.96,
Diluted NI Availto Com Stockholders,129405000000.0,79513000000.0,72471000000.0,61922000000.0,
Average Dilution Earnings,-65000000.0,-228000000.0,-38000000.0,-37000000.0,
Net Income Common Stockholders,129470000000.0,79741000000.0,72509000000.0,61959000000.0,
Otherunder Preferred Stock Dividend,639000000.0,268000000.0,274000000.0,290000000.0,
Net Income,130109000000.0,80009000000.0,72783000000.0,62249000000.0,
Minority Interests,4133000000.0,8677000000.0,7210000000.0,15170000000.0,
Net Income Including Noncontrolling Interests,125976000000.0,71332000000.0,65573000000.0,47079000000.0,
Net Income Continuous Operations,125976000000.0,71332000000.0,65573000000.0,47079000000.0,
Earnings From Equity Interest Net Of Tax,5966000000.0,-7735000000.0,-8063000000.0,14344000000.0,
Tax Provision,35445000000.0,22529000000.0,15549000000.0,26815000000.0,
Pretax Income,155455000000.0,101596000000.0,89185000000.0,59550000000.0,
Other Income Expense,-2784000000.0,-4364000000.0,3109000000.0,-14618000000.0,
Other Non Operating Income Expenses,3387000000.0,6157000000.0,5823000000.0,10523000000.0,
Special Income Charges,-6171000000.0,-10521000000.0,-2714000000.0,-25141000000.0,
Impairment Of Capital Assets,6171000000.0,10521000000.0,2714000000.0,25141000000.0,
Net Non Operating Interest Income Expense,11163000000.0,-17911000000.0,-16989000000.0,-20611000000.0,
Interest Expense Non Operating,9596000000.0,17911000000.0,16989000000.0,20611000000.0,
Interest Income Non Operating,20759000000.0,,,,72794000000.0
Operating Income,147076000000.0,123871000000.0,103065000000.0,94779000000.0,
Operating Expense,250986000000.0,230974000000.0,215927000000.0,218833000000.0,
Other Operating Expenses,-761000000.0,,,,
Depreciation Amortization Depletion Income Statement,6336000000.0,21592000000.0,13504000000.0,11647000000.0,
Depreciation And Amortization In Income Statement,6336000000.0,21592000000.0,13504000000.0,11647000000.0,
Amortization,6336000000.0,21592000000.0,13504000000.0,11647000000.0,
Amortization Of Intangibles Income Statement,6336000000.0,21592000000.0,13504000000.0,11647000000.0,
Research And Development,57151000000.0,52256000000.0,56744000000.0,55465000000.0,
Selling General And Administration,188260000000.0,157126000000.0,145679000000.0,151721000000.0,
Selling And Marketing Expense,144021000000.0,115141000000.0,103496000000.0,119799000000.0,
General And Administrative Expense,44239000000.0,41985000000.0,42183000000.0,31922000000.0,
Other Gand A,44239000000.0,41985000000.0,42183000000.0,31922000000.0,
Gross Profit,398062000000.0,354845000000.0,318992000000.0,313612000000.0,
Cost Of Revenue,598285000000.0,586323000000.0,549695000000.0,539450000000.0,
Total Revenue,996347000000.0,941168000000.0,868687000000.0,853062000000.0,
Operating Revenue,953662000000.0,902332000000.0,832100000000.0,816311000000.0,
