,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.189,0.192,0.279,0.187,
Total Unusual Items,,,0.0,0.0,-10671000000.0
Total Unusual Items Excluding Goodwill,,,0.0,0.0,-10671000000.0
Net Income From Continuing Operation Net Minority Interest,88995000000.0,96223000000.0,-22759000000.0,89937000000.0,
Reconciled Depreciation,12855000000.0,12486000000.0,10899000000.0,10718000000.0,
EBIT,115576000000.0,125169000000.0,-26148000000.0,116033000000.0,
Net Interest Income,-5200000000.0,-5003000000.0,-4352000000.0,-4172000000.0,
Interest Expense,5200000000.0,5003000000.0,4352000000.0,4172000000.0,
Interest Income,21825000000.0,15764000000.0,10263000000.0,7465000000.0,
Normalized Income,88995000000.0,96223000000.0,-22759000000.0,89937000000.0,
Net Income From Continuing And Discontinued Operation,88995000000.0,96223000000.0,-22759000000.0,89937000000.0,
Total Expenses,313856000000.0,319171000000.0,264621000000.0,242866000000.0,
Rent Expense Supplemental,7069000000.0,6037000000.0,5550000000.0,4201000000.0,
Diluted Average Shares,2156578922.0,2173318913.0,2203312898.0,2265268867.0,
Basic Average Shares,2156578922.0,2173318913.0,2203312898.0,2265268867.0,
Diluted EPS,41.266687,44.274689,-10.329338,39.702687,
Basic EPS,41.266687,44.274689,-10.329338,39.702687,
Diluted NI Availto Com Stockholders,88995000000.0,96223000000.0,-22759000000.0,89937000000.0,
Net Income Common Stockholders,88995000000.0,96223000000.0,-22759000000.0,89937000000.0,
Net Income,88995000000.0,96223000000.0,-22759000000.0,89937000000.0,
Minority Interests,-566000000.0,-924000000.0,-761000000.0,-1012000000.0,
Net Income Including Noncontrolling Interests,89561000000.0,97147000000.0,-21998000000.0,90949000000.0,
Net Income Continuous Operations,89561000000.0,97147000000.0,-21998000000.0,90949000000.0,
Tax Provision,20815000000.0,23019000000.0,-8502000000.0,20912000000.0,
Pretax Income,110376000000.0,120166000000.0,-30500000000.0,111861000000.0,
Other Income Expense,54100000000.0,53439000000.0,54339000000.0,48056000000.0,
Special Income Charges,,,0.0,0.0,-10671000000.0
Impairment Of Capital Assets,,,0.0,0.0,10671000000.0
Net Non Operating Interest Income Expense,-5200000000.0,-5003000000.0,-4352000000.0,-4172000000.0,
Interest Expense Non Operating,5200000000.0,5003000000.0,4352000000.0,4172000000.0,
Other Operating Expenses,37292000000.0,38879000000.0,38162000000.0,34051000000.0,
Selling General And Administration,32711000000.0,31495000000.0,25056000000.0,23044000000.0,
Selling And Marketing Expense,25642000000.0,25458000000.0,19506000000.0,18843000000.0,
General And Administrative Expense,32711000000.0,31495000000.0,25056000000.0,23044000000.0,
Other Gand A,32711000000.0,31495000000.0,25056000000.0,23044000000.0,
Total Revenue,424232000000.0,439337000000.0,234121000000.0,354727000000.0,
Operating Revenue,424232000000.0,439337000000.0,234121000000.0,354727000000.0,
Loss Adjustment Expense,60044000000.0,61216000000.0,62889000000.0,55788000000.0,
Net Policyholder Benefits And Claims,60044000000.0,61216000000.0,62889000000.0,55788000000.0,
