,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-142079450.088339,-95223296.032553,-169545000.0,82530000.0,
Tax Rate For Calcs,0.284728,0.262323,0.267,0.262,
Normalized EBITDA,27593000000.0,30139000000.0,27356000000.0,22966000000.0,
Total Unusual Items,-499000000.0,-363000000.0,-635000000.0,315000000.0,
Total Unusual Items Excluding Goodwill,-499000000.0,-363000000.0,-635000000.0,315000000.0,
Net Income From Continuing Operation Net Minority Interest,12550000000.0,15174000000.0,14084000000.0,12036000000.0,
Reconciled Depreciation,7796000000.0,7177000000.0,6226000000.0,5830000000.0,
Reconciled Cost Of Revenue,27918000000.0,26876000000.0,24988000000.0,20355000000.0,
EBITDA,27094000000.0,29776000000.0,26721000000.0,23281000000.0,
EBIT,19298000000.0,22599000000.0,20495000000.0,17451000000.0,
Net Interest Income,-1003000000.0,-804000000.0,-311000000.0,-260000000.0,
Interest Expense,1186000000.0,973000000.0,382000000.0,242000000.0,
Interest Income,231000000.0,212000000.0,113000000.0,31000000.0,
Normalized Income,12906920549.911661,15441776703.967447,14549455000.0,11803530000.0,
Net Income From Continuing And Discontinued Operation,12550000000.0,15174000000.0,14084000000.0,12036000000.0,
Total Expenses,65105000000.0,63372000000.0,58169000000.0,47093000000.0,
Total Operating Income As Reported,18907000000.0,22560000000.0,21001000000.0,17155000000.0,
Diluted Average Shares,499681046.0,500304316.0,502480100.0,503895592.0,
Basic Average Shares,499412515.0,500056586.0,502120694.0,503627708.0,
Diluted EPS,25.12,30.33,28.03,23.89,
Basic EPS,25.13,30.34,28.05,23.9,
Diluted NI Availto Com Stockholders,12550000000.0,15174000000.0,14084000000.0,12036000000.0,
Net Income Common Stockholders,12550000000.0,15174000000.0,14084000000.0,12036000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,12550000000.0,15174000000.0,14084000000.0,12036000000.0,
Minority Interests,-408000000.0,-778000000.0,-667000000.0,-662000000.0,
Net Income Including Noncontrolling Interests,12958000000.0,15952000000.0,14751000000.0,12698000000.0,
Net Income Continuous Operations,12958000000.0,15952000000.0,14751000000.0,12698000000.0,
Tax Provision,5157000000.0,5673000000.0,5362000000.0,4510000000.0,
Pretax Income,18112000000.0,21626000000.0,20113000000.0,17209000000.0,
Special Income Charges,-701000000.0,-230000000.0,-282000000.0,-98000000.0,
Other Special Charges,199000000.0,102000000.0,210000000.0,-9000000.0,
Impairment Of Capital Assets,422000000.0,105000000.0,50000000.0,89000000.0,
Restructuring And Mergern Acquisition,80000000.0,23000000.0,22000000.0,18000000.0,
Net Non Operating Interest Income Expense,-1003000000.0,-804000000.0,-311000000.0,-260000000.0,
Total Other Finance Cost,48000000.0,43000000.0,42000000.0,49000000.0,
Interest Expense Non Operating,1186000000.0,973000000.0,382000000.0,242000000.0,
Interest Income Non Operating,231000000.0,212000000.0,113000000.0,31000000.0,
Operating Income,19577000000.0,22781000000.0,21014000000.0,17122000000.0,
Operating Expense,37187000000.0,36496000000.0,33181000000.0,26738000000.0,
Other Operating Expenses,,14000000.0,3000000.0,16000000.0,35000000.0
Selling General And Administration,37222000000.0,36482000000.0,33178000000.0,26722000000.0,
Selling And Marketing Expense,31002000000.0,30768000000.0,28151000000.0,22308000000.0,
General And Administrative Expense,6220000000.0,5714000000.0,5027000000.0,4414000000.0,
Gross Profit,56764000000.0,59277000000.0,54195000000.0,43860000000.0,
Cost Of Revenue,27918000000.0,26876000000.0,24988000000.0,20355000000.0,
Total Revenue,84682000000.0,86153000000.0,79183000000.0,64215000000.0,
Operating Revenue,84682000000.0,86153000000.0,79183000000.0,64215000000.0,
