,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,1541540000.0,1037312000.0,1134008000.0,2420180000.0,
Tax Rate For Calcs,0.242,0.256,0.229,0.236,
Normalized EBITDA,6998000000.0,3324000000.0,4915000000.0,8906000000.0,
Total Unusual Items,6370000000.0,4424000000.0,5564000000.0,10255000000.0,
Total Unusual Items Excluding Goodwill,6370000000.0,4052000000.0,4952000000.0,10255000000.0,
Net Income From Continuing Operation Net Minority Interest,12495000000.0,6876000000.0,9805000000.0,18680000000.0,
Reconciled Depreciation,146000000.0,170000000.0,169000000.0,168000000.0,
Reconciled Cost Of Revenue,3546000000.0,3245000000.0,3310000000.0,3849000000.0,
EBITDA,13368000000.0,7748000000.0,10479000000.0,19161000000.0,
EBIT,13222000000.0,7578000000.0,10310000000.0,18993000000.0,
Net Interest Income,412000000.0,326000000.0,-52000000.0,-346000000.0,
Interest Expense,549000000.0,557000000.0,553000000.0,398000000.0,
Interest Income,920000000.0,912000000.0,475000000.0,52000000.0,
Normalized Income,7666540000.0,4233312000.0,6599008000.0,10845180000.0,
Net Income From Continuing And Discontinued Operation,12367000000.0,6606000000.0,10112000000.0,18733000000.0,
Total Expenses,6009000000.0,5633000000.0,5333000000.0,6001000000.0,
Total Operating Income As Reported,173000000.0,-546000000.0,-1027000000.0,-950000000.0,
Diluted Average Shares,2404912826.0,2592606455.0,2750274287.0,3284032419.0,
Basic Average Shares,2404912826.0,2592606455.0,2750274287.0,3284032419.0,
Diluted EPS,5.11,2.53,3.63,5.652413,
Basic EPS,5.14,2.55,3.68,5.702881,
Diluted NI Availto Com Stockholders,12367000000.0,6606000000.0,10112000000.0,18733000000.0,
Net Income Common Stockholders,12367000000.0,6606000000.0,10112000000.0,18733000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,12367000000.0,6606000000.0,10112000000.0,18733000000.0,
Minority Interests,1000000.0,16000000.0,90000000.0,139000000.0,
Net Income Including Noncontrolling Interests,12366000000.0,6590000000.0,10022000000.0,18594000000.0,
Net Income Discontinuous Operations,-128000000.0,-270000000.0,307000000.0,53000000.0,
Net Income Continuous Operations,12494000000.0,6860000000.0,9715000000.0,18541000000.0,
Tax Provision,179000000.0,161000000.0,42000000.0,54000000.0,
Pretax Income,12673000000.0,7021000000.0,9757000000.0,18595000000.0,
Other Non Operating Income Expenses,27000000.0,-1000000.0,8000000.0,32000000.0,
Special Income Charges,6000000000.0,3953000000.0,5003000000.0,10446000000.0,
Other Special Charges,-6127000000.0,-4810000000.0,-7389000000.0,-12434000000.0,
Write Off,91000000.0,483000000.0,1775000000.0,581000000.0,
Impairment Of Capital Assets,13000000.0,2000000.0,718000000.0,246000000.0,
Restructuring And Mergern Acquisition,23000000.0,0.0,-1000000.0,1161000000.0,
Net Non Operating Interest Income Expense,412000000.0,326000000.0,-52000000.0,-346000000.0,
Total Other Finance Cost,-41000000.0,29000000.0,-26000000.0,,7000000.0
Interest Expense Non Operating,549000000.0,557000000.0,553000000.0,398000000.0,
Interest Income Non Operating,920000000.0,912000000.0,475000000.0,52000000.0,
Operating Income,161000000.0,-166000000.0,-386000000.0,-781000000.0,
Operating Expense,2463000000.0,2388000000.0,2023000000.0,2152000000.0,
Selling General And Administration,2463000000.0,2388000000.0,2023000000.0,2152000000.0,
General And Administrative Expense,2463000000.0,2388000000.0,2023000000.0,2152000000.0,
Gross Profit,2624000000.0,2222000000.0,1637000000.0,1371000000.0,
Cost Of Revenue,3546000000.0,3245000000.0,3310000000.0,3849000000.0,
Total Revenue,6170000000.0,5467000000.0,4947000000.0,5220000000.0,
Operating Revenue,6170000000.0,5467000000.0,4947000000.0,5220000000.0,
