,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-23647000.0,-14274000.0,-113715000.0,-85484000.0,
Tax Rate For Calcs,0.221,0.122,0.171,0.142,
Normalized EBITDA,16726000000.0,18657000000.0,21526000000.0,22862000000.0,
Total Unusual Items,-107000000.0,-117000000.0,-665000000.0,-602000000.0,
Total Unusual Items Excluding Goodwill,-107000000.0,-117000000.0,-665000000.0,-602000000.0,
Net Income From Continuing Operation Net Minority Interest,8277000000.0,11498000000.0,12421000000.0,13930000000.0,
Reconciled Depreciation,3423000000.0,3464000000.0,3844000000.0,4443000000.0,
Reconciled Cost Of Revenue,16283000000.0,16357000000.0,19737000000.0,19647000000.0,
EBITDA,16619000000.0,18540000000.0,20861000000.0,22260000000.0,
EBIT,13196000000.0,15076000000.0,17017000000.0,17817000000.0,
Net Interest Income,-1151000000.0,-814000000.0,-673000000.0,-414000000.0,
Interest Expense,1403000000.0,997000000.0,690000000.0,419000000.0,
Interest Income,260000000.0,195000000.0,67000000.0,,16000000.0
Normalized Income,8360353000.0,11600726000.0,12972285000.0,14446516000.0,
Net Income From Continuing And Discontinued Operation,8277000000.0,11498000000.0,12421000000.0,13930000000.0,
Total Expenses,48978000000.0,45046000000.0,48338000000.0,44646000000.0,
Total Operating Income As Reported,13417000000.0,15395000000.0,17476000000.0,18155000000.0,
Diluted Average Shares,802000000.0,804000000.0,808000000.0,860000000.0,
Basic Average Shares,797000000.0,799000000.0,800000000.0,850000000.0,
Diluted EPS,10.31,14.31,15.37,16.2,
Basic EPS,10.39,14.4,15.52,16.38,
Diluted NI Availto Com Stockholders,8277000000.0,11498000000.0,12420000000.0,13929000000.0,
Average Dilution Earnings,0.0,0.0,-1000000.0,-1000000.0,
Net Income Common Stockholders,8277000000.0,11498000000.0,12421000000.0,13930000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,8277000000.0,11498000000.0,12421000000.0,13930000000.0,
Minority Interests,-910000000.0,-860000000.0,-1110000000.0,-1005000000.0,
Net Income Including Noncontrolling Interests,9187000000.0,12358000000.0,13531000000.0,14935000000.0,
Net Income Continuous Operations,9187000000.0,12358000000.0,13531000000.0,14935000000.0,
Tax Provision,2606000000.0,1721000000.0,2796000000.0,2463000000.0,
Pretax Income,11793000000.0,14079000000.0,16327000000.0,17398000000.0,
Special Income Charges,-163000000.0,-234000000.0,-70000000.0,-20000000.0,
Other Special Charges,163000000.0,233000000.0,70000000.0,20000000.0,
Write Off,0.0,1000000.0,0.0,,
Net Non Operating Interest Income Expense,-1151000000.0,-814000000.0,-673000000.0,-414000000.0,
Total Other Finance Cost,8000000.0,12000000.0,50000000.0,-5000000.0,
Interest Expense Non Operating,1403000000.0,997000000.0,690000000.0,419000000.0,
Interest Income Non Operating,260000000.0,195000000.0,67000000.0,,16000000.0
Operating Income,13417000000.0,15395000000.0,17476000000.0,18155000000.0,
Operating Expense,32695000000.0,28689000000.0,28601000000.0,24999000000.0,
Other Operating Expenses,2495000000.0,-392000000.0,-825000000.0,,
Research And Development,15304000000.0,14200000000.0,15225000000.0,14799000000.0,
Selling General And Administration,14896000000.0,14881000000.0,14201000000.0,13249000000.0,
Selling And Marketing Expense,,,9639000000.0,9920000000.0,9572000000.0
General And Administrative Expense,14896000000.0,14881000000.0,14201000000.0,3329000000.0,
Gross Profit,46112000000.0,44084000000.0,46077000000.0,43154000000.0,
Cost Of Revenue,16283000000.0,16357000000.0,19737000000.0,19647000000.0,
Total Revenue,62395000000.0,60441000000.0,65814000000.0,62801000000.0,
Operating Revenue,62395000000.0,60441000000.0,65814000000.0,62801000000.0,
