,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,1055518628.486241,-1883419677.171407,12297459693.185871,11490137465.633593
Tax Rate For Calcs,0.186422,0.268255,0.102347,0.081641
Normalized EBITDA,303114000000.0,239143000000.0,144007000000.0,164197000000.0
Total Unusual Items,7031000000.0,-6926000000.0,137419000000.0,149453000000.0
Total Unusual Items Excluding Goodwill,5662000000.0,-7021000000.0,120154000000.0,140740000000.0
Net Income From Continuing Operation Net Minority Interest,194073000000.0,115216000000.0,188243000000.0,224822000000.0
Reconciled Depreciation,56213000000.0,59008000000.0,61216000000.0,57670000000.0
Reconciled Cost Of Revenue,311011000000.0,315906000000.0,315806000000.0,314174000000.0
EBITDA,310145000000.0,232217000000.0,281426000000.0,313650000000.0
EBIT,253932000000.0,173209000000.0,220210000000.0,255980000000.0
Net Interest Income,3557000000.0,1923000000.0,-1393000000.0,-1268000000.0
Interest Expense,12447000000.0,11885000000.0,9985000000.0,7918000000.0
Interest Income,16004000000.0,13808000000.0,8592000000.0,6650000000.0
Normalized Income,190835518628.48624,120448580322.8286,97651459693.18587,104285137465.63359
Net Income From Continuing And Discontinued Operation,194073000000.0,115216000000.0,188243000000.0,224822000000.0
Total Expenses,451471000000.0,443357000000.0,440612000000.0,437777000000.0
Total Operating Income As Reported,208099000000.0,160074000000.0,110827000000.0,271620000000.0
Diluted Average Shares,9408000000.0,9610000000.0,9695000000.0,9696000000.0
Basic Average Shares,9269000000.0,9455000000.0,9528000000.0,9528000000.0
Diluted EPS,20.486,11.887,19.341,23.164
Basic EPS,20.938,12.186,19.757,23.597
Diluted NI Availto Com Stockholders,192730000000.0,114230000000.0,187503000000.0,224605000000.0
Average Dilution Earnings,-1343000000.0,-986000000.0,-740000000.0,-217000000.0
Net Income Common Stockholders,194073000000.0,115216000000.0,188243000000.0,224822000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,194073000000.0,115216000000.0,188243000000.0,224822000000.0
Minority Interests,-2394000000.0,-2832000000.0,-466000000.0,-2988000000.0
Net Income Including Noncontrolling Interests,196467000000.0,118048000000.0,188709000000.0,227810000000.0
Net Income Continuous Operations,196467000000.0,118048000000.0,188709000000.0,227810000000.0
Tax Provision,45018000000.0,43276000000.0,21516000000.0,20252000000.0
Pretax Income,241485000000.0,161324000000.0,210225000000.0,248062000000.0
Other Non Operating Income Expenses,-687000000.0,-2589000000.0,-3113000000.0,1229000000.0
Special Income Charges,3021000000.0,-4902000000.0,127904000000.0,93023000000.0
Other Special Charges,-12810000000.0,-1288000000.0,-172707000000.0,-118051000000.0
Write Off,8420000000.0,6095000000.0,27538000000.0,16315000000.0
Restructuring And Mergern Acquisition,1369000000.0,95000000.0,17265000000.0,
Net Non Operating Interest Income Expense,3557000000.0,1923000000.0,-1393000000.0,-1268000000.0
Interest Expense Non Operating,12447000000.0,11885000000.0,9985000000.0,7918000000.0
Interest Income Non Operating,16004000000.0,13808000000.0,8592000000.0,6650000000.0
Operating Income,208786000000.0,165658000000.0,113940000000.0,122341000000.0
Operating Expense,140460000000.0,127451000000.0,124806000000.0,123603000000.0
Other Operating Expenses,,,5124000000.0,2050000000.0
Selling General And Administration,149149000000.0,137736000000.0,135925000000.0,130441000000.0
Selling And Marketing Expense,36388000000.0,34211000000.0,29229000000.0,40594000000.0
General And Administrative Expense,112761000000.0,103525000000.0,106696000000.0,89847000000.0
Gross Profit,349246000000.0,293109000000.0,238746000000.0,245944000000.0
Cost Of Revenue,311011000000.0,315906000000.0,315806000000.0,314174000000.0
Total Revenue,660257000000.0,609015000000.0,554552000000.0,560118000000.0
Operating Revenue,660257000000.0,609015000000.0,554552000000.0,560118000000.0
