,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,197845319.246856,442708766.369197,457733710.337512,611821333.110118,
Tax Rate For Calcs,0.176632,0.130998,0.13179,0.105809,
Normalized EBITDA,2078011900000.0,1520127300000.0,1589603300000.0,1085062800000.0,
Total Unusual Items,1120100000.0,3379500000.0,3473200000.0,5782300000.0,
Total Unusual Items Excluding Goodwill,1120100000.0,3379500000.0,3473200000.0,5782300000.0,
Net Income From Continuing Operation Net Minority Interest,1158380200000.0,851740000000.0,992923400000.0,592359200000.0,
Reconciled Depreciation,662796600000.0,532190900000.0,437254300000.0,422394900000.0,
Reconciled Cost Of Revenue,1269954100000.0,986625200000.0,915536500000.0,767877700000.0,
EBITDA,2079132000000.0,1523506800000.0,1593076500000.0,1090845100000.0,
EBIT,1416335400000.0,991315900000.0,1155822200000.0,668450200000.0,
Net Interest Income,76718000000.0,48294500000.0,10672200000.0,294600000.0,
Interest Expense,10495400000.0,11999400000.0,11750000000.0,5414200000.0,
Interest Income,87213400000.0,60293900000.0,22422200000.0,5708800000.0,
Normalized Income,1157457945319.2468,848803208766.3691,989907933710.3375,587188721333.1101,
Net Income From Continuing And Discontinued Operation,1158380200000.0,851740000000.0,992923400000.0,592359200000.0,
Total Expenses,1572304600000.0,1240305900000.0,1142664800000.0,937431400000.0,
Total Operating Income As Reported,1322053000000.0,921465600000.0,1121278900000.0,649980900000.0,
Diluted Average Shares,5185940000.0,5185853400.0,5185838000.0,5186076000.0,
Basic Average Shares,5185520000.0,5185844600.0,5185838000.0,5186076000.0,
Diluted EPS,223.35,161.7,196.0,115.05,
Basic EPS,223.4,161.7,196.0,115.05,
Diluted NI Availto Com Stockholders,1158380200000.0,851740000000.0,992923400000.0,592359200000.0,
Net Income Common Stockholders,1158380200000.0,851740000000.0,992923400000.0,592359200000.0,
Net Income,1158380200000.0,851740000000.0,992923400000.0,592359200000.0,
Minority Interests,856300000.0,712300000.0,-371300000.0,-521400000.0,
Net Income Including Noncontrolling Interests,1157523900000.0,851027700000.0,993294700000.0,592880600000.0,
Net Income Continuous Operations,1157523900000.0,851027700000.0,993294700000.0,592880600000.0,
Tax Provision,248316100000.0,128288800000.0,150777500000.0,70155400000.0,
Pretax Income,1405840000000.0,979316500000.0,1144072200000.0,663036000000.0,
Other Income Expense,7118900000.0,9592100000.0,12173500000.0,12757800000.0,
Other Non Operating Income Expenses,1118100000.0,1412400000.0,1020500000.0,1462800000.0,
Special Income Charges,7100000.0,15700000.0,0.0,0.0,
Gain On Sale Of Business,7100000.0,15700000.0,0.0,0.0,
Write Off,,9500000.0,900000.0,1300000.0,-900000.0
Earnings From Equity Interest,4880700000.0,4800200000.0,7679800000.0,5512700000.0,
Gain On Sale Of Security,1113000000.0,3363800000.0,3473200000.0,5782300000.0,
Net Non Operating Interest Income Expense,76718000000.0,48294500000.0,10672200000.0,294600000.0,
Total Other Finance Cost,-76718000000.0,-48294000000.0,,-294000000.0,-6937000000.0
Interest Expense Non Operating,10495400000.0,11999400000.0,11750000000.0,5414200000.0,
Interest Income Non Operating,87213400000.0,60293900000.0,22422200000.0,5708800000.0,
Operating Income,1322003100000.0,921429900000.0,1121226500000.0,649983600000.0,
Operating Expense,302350500000.0,253680700000.0,227128300000.0,169553700000.0,
Other Operating Expenses,1280100000.0,-153000000.0,420800000.0,330700000.0,
Research And Development,204181800000.0,182370200000.0,163262200000.0,124734800000.0,
Selling General And Administration,96888600000.0,71463500000.0,63445300000.0,44488200000.0,
Selling And Marketing Expense,13143600000.0,10590700000.0,9920500000.0,7558600000.0,
General And Administrative Expense,83745000000.0,60872800000.0,53524800000.0,36929600000.0,
Other Gand A,83745000000.0,60872800000.0,53524800000.0,36929600000.0,
Gross Profit,1624353600000.0,1175110600000.0,1348354800000.0,819537300000.0,
Cost Of Revenue,1269954100000.0,986625200000.0,915536500000.0,767877700000.0,
Total Revenue,2894307700000.0,2161735800000.0,2263891300000.0,1587415000000.0,
Operating Revenue,2894307700000.0,2161735800000.0,2263891300000.0,1587415000000.0,
