ticker,rows,first_ts,last_ts
CVS,523144,2020-12-14 20:55:00+00:00,2026-04-30 13:53:00+00:00
DVN,523143,2020-12-15 15:15:00+00:00,2026-04-30 13:52:00+00:00
FCX,523143,2020-12-15 17:56:00+00:00,2026-04-30 13:52:00+00:00
NEM,523142,2020-12-14 15:06:00+00:00,2026-04-30 13:51:00+00:00
OXY,523141,2020-12-15 18:58:00+00:00,2026-04-30 13:50:00+00:00
SNAP,522365,2020-12-17 18:26:00+00:00,2026-04-30 13:54:00+00:00
PINS,522363,2020-12-16 19:21:00+00:00,2026-04-30 13:55:00+00:00
INTC,522354,2020-12-17 20:49:00+00:00,2026-04-30 13:43:00+00:00
AMD,522353,2020-12-18 20:39:00+00:00,2026-04-30 13:42:00+00:00
VZ,521816,2020-12-18 17:52:00+00:00,2026-04-30 13:55:00+00:00
T,521794,2020-12-18 20:20:00+00:00,2026-04-30 13:55:00+00:00
V,521759,2020-12-18 16:58:00+00:00,2026-04-30 13:42:00+00:00
PYPL,521729,2020-12-21 15:34:00+00:00,2026-04-30 13:56:00+00:00
DAL,521718,2020-12-21 14:52:00+00:00,2026-04-30 13:44:00+00:00
UAL,521668,2020-12-18 16:35:00+00:00,2026-04-30 13:43:00+00:00
AAL,521645,2020-12-22 15:31:00+00:00,2026-04-30 13:44:00+00:00
LUV,521644,2020-12-18 15:01:00+00:00,2026-04-30 13:43:00+00:00
JBLU,521642,2020-12-14 20:38:00+00:00,2026-04-30 13:45:00+00:00
D,521588,2020-12-14 16:30:00+00:00,2026-04-30 13:57:00+00:00
NEE,521587,2020-12-17 18:42:00+00:00,2026-04-30 13:56:00+00:00
SO,521587,2020-12-14 19:48:00+00:00,2026-04-30 13:57:00+00:00
CSX,521257,2020-12-17 18:21:00+00:00,2026-04-30 13:46:00+00:00
EXC,521198,2020-12-16 15:56:00+00:00,2026-04-30 13:58:00+00:00
UBER,520785,2020-12-23 19:29:00+00:00,2026-04-30 13:46:00+00:00
LYFT,520767,2020-12-21 20:27:00+00:00,2026-04-30 13:45:00+00:00
TSLA,520747,2020-12-28 17:12:00+00:00,2026-04-30 13:42:00+00:00
GM,520720,2020-12-24 15:19:00+00:00,2026-04-30 13:46:00+00:00
F,520696,2020-12-23 19:29:00+00:00,2026-04-30 13:46:00+00:00
KMI,520478,2020-12-18 16:08:00+00:00,2026-04-30 13:47:00+00:00
CVX,520474,2020-12-28 18:59:00+00:00,2026-04-30 13:43:00+00:00
XOM,520473,2020-12-24 17:05:00+00:00,2026-04-30 13:42:00+00:00
VLO,520446,2020-12-14 16:47:00+00:00,2026-04-30 13:47:00+00:00
MGM,520089,2020-12-23 18:02:00+00:00,2026-04-30 13:49:00+00:00
SBUX,520088,2020-12-28 15:13:00+00:00,2026-04-30 13:48:00+00:00
TGT,520084,2020-12-17 16:12:00+00:00,2026-04-30 13:48:00+00:00
HD,520083,2020-12-17 18:20:00+00:00,2026-04-30 13:43:00+00:00
WMT,520083,2020-12-28 20:05:00+00:00,2026-04-30 13:42:00+00:00
LVS,520081,2020-12-23 14:40:00+00:00,2026-04-30 13:48:00+00:00
AMZN,519965,2020-12-15 18:36:00+00:00,2026-04-30 13:42:00+00:00
META,519693,2020-12-31 15:32:00+00:00,2026-04-30 13:42:00+00:00
AAPL,519692,2020-12-31 16:23:00+00:00,2026-04-30 13:41:00+00:00
MSFT,519691,2020-12-31 14:51:00+00:00,2026-04-30 13:40:00+00:00
NVDA,519527,2020-12-31 15:56:00+00:00,2026-04-30 13:41:00+00:00
WMB,519512,2020-12-28 17:04:00+00:00,2026-04-30 13:47:00+00:00
UPS,519304,2020-12-16 18:31:00+00:00,2026-04-30 13:46:00+00:00
MPC,518487,2020-12-17 15:58:00+00:00,2026-04-30 13:47:00+00:00
COP,518142,2020-12-31 20:48:00+00:00,2026-04-30 13:51:00+00:00
OKE,518142,2020-12-16 15:15:00+00:00,2026-04-30 13:52:00+00:00
EBAY,518141,2020-12-31 16:32:00+00:00,2026-04-30 13:53:00+00:00
KR,518140,2020-12-29 19:30:00+00:00,2026-04-30 13:52:00+00:00
ENB,518139,2020-12-18 15:52:00+00:00,2026-04-30 13:51:00+00:00
CHWY,518139,2020-12-23 20:49:00+00:00,2026-04-30 13:53:00+00:00
